Position(THz)	Width(THz)
1.057843	0.033466
1.421685	0.033995
1.58092	0.030342
1.629799	0.045836
2.141153	0.071898
2.667806	0.037837
2.710938	0.044474
3.201432	0.065602
3.273302	0.034993
3.43071	0.04058
4.211414	0.089929
4.588705	0.061565
5.042081	0.05067
5.372025	0.024668
5.376697	0.03658
5.677333	0.044207
5.876264	0.047723
6.376685	0.043067
6.582323	0.04877
6.835937	0.045058
8.459368	0.058401
8.606009	0.066755
8.72322	0.04177
8.883702	0.052631
9.248613	0.054767
9.328385	0.04044
9.354812	0.065897
9.440367	0.062884
9.982511	0.075909
10.219865	0.066902
10.454495	0.076496
10.513405	0.051371
10.533015	0.081932
10.964265	0.053507
11.022603	0.038274
11.480087	0.044466
11.713395	0.077652
11.817507	0.079833
12.077897	0.070372
12.668067	0.103243
13.037489	0.055137
13.544452	0.059089
14.078957	0.051225
14.122125	0.06376
14.627512	0.075225
14.667031	0.059336
14.754403	0.083497
14.760883	0.080483
15.566421	0.064288
15.733632	0.047244
16.174198	0.082858
16.50146	0.065037
17.016888	0.036557
17.242547	0.081138
17.230217	0.054586
17.320047	0.050642
17.865308	0.037181
18.097955	0.073294
18.223931	0.097093
18.389274	0.073561
18.678038	0.080027
18.873961	0.063076
19.182362	0.100928
19.896042	0.09339
20.282571	0.079809
20.443455	0.094028
21.026369	0.070205
21.188004	0.077441
21.432055	0.052348
21.548394	0.124362
21.971827	0.069873
22.018973	0.050242
22.916833	0.082758
23.072028	0.069297
22.910847	0.122107
22.927452	0.134032
22.937564	0.14183
22.939202	0.122989
23.128838	0.041171
23.136853	0.040876
23.230036	0.024229
23.469347	0.048892
23.52743	0.104087
23.730662	0.040962
23.737183	0.110039
23.876936	0.083601
25.133131	0.057204
25.703472	0.082271
25.89347	0.09122
25.984569	0.088368
26.525002	0.035095
26.624472	0.047161
26.740254	0.070218
26.822595	0.048919
27.352673	0.066845
27.432293	0.044444
27.527865	0.050235
27.620872	0.051618
28.226093	0.042233
28.420077	0.047518
28.686662	0.086508
28.823472	0.083401
28.871609	0.093349
28.963223	0.069058
29.162908	0.098883
29.291649	0.066036
29.33346	0.070462
29.475936	0.069904
29.460722	0.27114
29.484742	0.26757
29.495575	0.294578
29.508357	0.246346
30.281609	0.054825
30.353943	0.091497
30.420827	0.061849
30.474091	0.058352
31.184083	0.054526
31.272729	0.047272
32.200094	0.070105
32.304773	0.084131
34.394361	0.292604
34.46596	0.225558
34.457532	0.254333
34.488318	0.249939
35.221977	0.141491
35.222532	0.115364
35.227257	0.119077
35.236241	0.129517
35.285184	0.080428
35.446507	0.090801
35.482956	0.067003
35.511624	0.077698
35.77668	0.076023
35.768198	0.120378
35.842368	0.06932
35.860446	0.069067
36.877779	0.111559
37.03015	0.111381
37.02977	0.111309
37.049699	0.119839
39.369655	0.220892
39.36494	0.223321
39.38065	0.178518
39.381938	0.17008
42.094222	0.065654
42.096372	0.08533
42.124266	0.051193
42.126848	0.053727
44.519927	0.191278
44.51111	0.158158
44.529979	0.157521
44.518233	0.141144
49.040582	0.066608
49.044964	0.068466
49.061049	0.073829
49.064096	0.067136
49.229378	0.138346
49.221815	0.111993
49.232427	0.117623
49.233874	0.139666
45.91814	0.108737
45.913876	0.1268
45.916404	0.129344
45.903193	0.137337
45.42317	0.059829
45.422312	0.079894
45.415153	0.07971
45.392581	0.08538
44.753137	0.201319
44.739243	0.167895
44.708666	0.14283
44.713208	0.167468
44.40703	0.250554
44.359898	0.214532
44.357198	0.20135
44.361252	0.195572
44.326012	0.109438
44.338772	0.125059
44.325802	0.124841
44.320124	0.111496
43.41265	0.179051
43.422778	0.201693
43.413195	0.193624
43.412431	0.205444
41.492889	0.147889
41.500417	0.153659
41.488975	0.129145
41.486491	0.14426
38.610328	0.102932
38.617021	0.080204
38.607847	0.07837
38.608808	0.082378
38.484921	0.07011
38.485302	0.062699
38.465945	0.088806
38.443687	0.097006
38.106677	0.088973
38.093451	0.083503
38.077129	0.077295
38.063124	0.10365
7.610509	0.115982
7.622471	0.104925
7.604966	0.110708
7.612812	0.099883
7.541484	0.184657
7.53888	0.21479
7.540564	0.206962
7.53926	0.19694
7.497583	0.121689
7.494669	0.126848
7.499355	0.113061
7.499506	0.132383
7.40305	0.182353
7.389035	0.180962
7.395179	0.174202
