Position(THz)	Width(THz)
0.368389	0.048258
0.639977	0.030691
0.780698	0.021433
1.016713	0.041273
1.877302	0.043591
2.028913	0.03813
2.72092	0.045234
3.042126	0.078026
3.051487	0.067156
4.17689	0.113606
4.229868	0.0546
5.121902	0.045518
5.322106	0.078345
5.386871	0.041135
5.426438	0.041935
5.672294	0.039779
6.389437	0.053382
6.385007	0.051512
6.974729	0.047172
7.277307	0.067184
8.371227	0.028772
8.371747	0.035499
8.439383	0.048093
8.615832	0.046147
8.745179	0.065603
8.759652	0.053307
9.47741	0.073996
9.772925	0.084659
9.775456	0.049247
9.90496	0.086156
10.579999	0.03407
10.645559	0.075985
10.730093	0.081667
10.71732	0.048924
11.606276	0.078866
11.673808	0.047988
11.716753	0.072971
11.822663	0.090356
12.120389	0.078485
12.860725	0.058647
13.021419	0.095705
13.474354	0.084752
13.879478	0.050672
14.079226	0.051882
14.126863	0.045081
14.178543	0.070989
14.643453	0.091348
14.895372	0.086547
15.929767	0.095441
16.291696	0.060489
16.613196	0.058276
16.900432	0.074202
16.922404	0.037218
17.192805	0.073563
17.375931	0.043549
17.642016	0.116725
17.721358	0.087959
17.695807	0.063997
17.728348	0.037969
18.383466	0.066022
18.421665	0.040669
18.92619	0.083058
19.138283	0.081513
19.519724	0.039098
20.035434	0.077107
20.329921	0.054392
21.329119	0.062971
21.571578	0.065336
21.649654	0.088394
21.879321	0.052781
21.927092	0.070226
22.031063	0.055033
22.488408	0.098011
22.925324	0.050684
22.93549	0.049662
22.909855	0.135528
22.9296	0.129985
22.942374	0.13404
22.949226	0.13123
23.076317	0.037501
23.31006	0.036105
23.635319	0.078146
23.657342	0.116977
23.700206	0.108947
24.227865	0.05187
24.325644	0.053533
24.627975	0.035036
25.217006	0.068789
25.254915	0.0832
26.065163	0.086713
26.32711	0.036071
27.12348	0.051963
27.250888	0.067691
27.242871	0.053361
27.312291	0.051547
27.373357	0.060823
27.482869	0.05153
27.662152	0.061462
27.9221	0.048843
28.422492	0.045476
28.512475	0.09497
28.74682	0.135862
28.866652	0.091913
29.013245	0.05038
29.207434	0.042984
29.059916	0.125956
29.470812	0.067334
29.621354	0.07279
29.422491	0.291978
29.473692	0.260794
29.519147	0.248727
29.549667	0.239782
30.237596	0.075234
30.378049	0.052439
30.408593	0.101223
30.530197	0.128399
31.129998	0.026618
31.322834	0.056936
32.133508	0.079199
32.37865	0.045608
34.341521	0.263434
34.45486	0.254058
34.477344	0.241151
34.493679	0.270831
35.205367	0.141961
35.220571	0.138211
35.238381	0.14393
35.257043	0.128909
35.195135	0.088601
35.476447	0.063081
35.698354	0.09558
35.702676	0.105876
35.56026	0.115327
35.595751	0.113346
35.886498	0.07057
35.916042	0.058286
36.766771	0.098811
37.009393	0.09726
37.078718	0.111444
37.116424	0.131511
39.36239	0.289454
39.370849	0.251972
39.390534	0.240782
39.387918	0.20027
42.07633	0.056737
42.07364	0.048851
42.135795	0.058418
42.155255	0.061711
44.511434	0.149356
44.503565	0.139823
44.532894	0.158134
44.531224	0.136718
49.032334	0.05637
49.034894	0.054482
49.070984	0.053747
49.073059	0.053023
49.214868	0.15001
49.209064	0.130842
49.241175	0.145362
49.248516	0.137716
45.918656	0.125187
45.924189	0.105454
45.899127	0.125519
45.880004	0.1224
45.432096	0.059404
45.430999	0.065421
45.399517	0.077146
45.380398	0.073679
44.778818	0.207094
44.719454	0.162739
44.725141	0.203386
44.713728	0.182809
44.428204	0.255257
44.377026	0.219927
44.351719	0.199206
44.345463	0.167633
44.347427	0.128329
44.339096	0.123576
44.332105	0.113421
44.322199	0.095408
43.416178	0.182396
43.4138	0.185953
43.414523	0.190755
43.418057	0.198497
41.490511	0.144593
41.495664	0.154371
41.481867	0.141915
41.47907	0.172767
38.520131	0.062147
38.609002	0.08793
38.605845	0.084577
38.602066	0.086612
38.601426	0.09676
38.505516	0.069285
38.437816	0.070026
38.41595	0.092454
38.134557	0.07111
38.124801	0.064832
38.072923	0.083909
38.027168	0.112866
7.611782	0.101492
7.615579	0.115011
7.610999	0.113166
7.608862	0.118079
7.527861	0.19092
7.542231	0.197704
7.540316	0.160062
7.543113	0.219257
7.499316	0.127187
7.497666	0.123126
7.496357	0.117365
7.498313	0.125497
7.387782	0.184278
7.41061	0.174265
7.39827	0.153273
