Position(THz)	Width(THz)
1.333023	0.010671
1.628304	0.034021
1.628169	0.038114
2.528945	0.052476
2.531353	0.055478
2.979633	0.040617
2.978135	0.035784
3.656342	0.054722
3.653564	0.059034
3.904316	0.059969
3.903023	0.060307
5.370651	0.035659
5.370353	0.038197
5.47835	0.043182
5.478469	0.042601
6.012191	0.049695
6.010399	0.051656
6.724008	0.052695
6.719476	0.059863
8.5291	0.053312
8.52688	0.061004
8.967919	0.042078
8.968833	0.040207
9.167209	0.058145
9.167831	0.059445
9.522546	0.036425
9.522743	0.03843
10.247199	0.058471
10.252717	0.059973
10.417725	0.064653
10.412364	0.078966
10.609914	0.057185
10.613912	0.044056
11.227218	0.072382
11.224954	0.054637
11.771887	0.048584
11.771618	0.055155
12.378641	0.085988
12.377864	0.095847
13.303938	0.067445
13.294722	0.064232
14.082573	0.077557
14.079063	0.075679
14.700815	0.081962
14.694601	0.093426
15.148168	0.07581
15.155767	0.069886
15.189691	0.071107
15.189453	0.065026
16.328346	0.045138
16.326762	0.043655
17.112831	0.050016
17.104744	0.059349
17.275071	0.04108
17.274536	0.040486
17.971401	0.038711
17.971315	0.041131
18.469566	0.074353
18.46677	0.055256
18.655515	0.077829
18.657268	0.073582
19.548096	0.09772
19.55096	0.116267
20.744064	0.092138
20.748355	0.071001
20.72613	0.083166
20.724621	0.069527
21.519149	0.09345
21.516874	0.094625
22.00086	0.090168
21.991512	0.07978
22.919629	0.121568
22.92279	0.140969
22.941108	0.129098
22.942	0.119204
23.048759	0.101586
23.049278	0.10598
23.181204	0.025872
23.181454	0.02412
23.290062	0.048005
23.288044	0.054169
23.568698	0.073487
23.567108	0.080799
23.772531	0.121266
23.777295	0.112352
25.424783	0.057332
25.42612	0.076748
26.276172	0.076643
26.269623	0.090869
26.383797	0.108185
26.38794	0.122798
26.669588	0.040114
26.671448	0.040033
27.404119	0.060799
27.406873	0.054285
27.576379	0.04736
27.57646	0.051217
28.330931	0.054146
28.335518	0.062986
28.780969	0.085787
28.770356	0.087853
28.923817	0.063918
28.921477	0.067414
29.243428	0.09677
29.237682	0.1051
29.378132	0.061219
29.38247	0.071387
29.48839	0.273888
29.47882	0.269905
29.50597	0.216624
29.502507	0.249334
30.319224	0.075273
30.31873	0.072638
30.447464	0.075179
30.444813	0.073803
31.239596	0.065681
31.237028	0.069407
32.24853	0.092811
32.250222	0.096189
34.423476	0.267413
34.438464	0.216458
34.469109	0.271395
34.476231	0.238227
35.238397	0.151155
35.229872	0.119811
35.232823	0.109454
35.22379	0.123672
35.364118	0.08758
35.369873	0.060192
35.500526	0.091585
35.500505	0.081598
35.807318	0.069958
35.808685	0.074271
35.804286	0.108672
35.797371	0.101437
36.967449	0.121904
36.960248	0.124783
37.034298	0.112761
37.037945	0.11577
39.366162	0.187522
39.363279	0.27284
39.373931	0.173313
39.365055	0.239983
42.111917	0.064482
42.115735	0.072057
42.116794	0.060559
42.117081	0.065559
44.525161	0.175345
44.522906	0.173548
44.522237	0.157834
44.5114	0.16315
49.052496	0.076655
49.051814	0.068925
49.060484	0.060928
49.050903	0.078614
49.219221	0.121896
49.232349	0.108107
49.22239	0.117415
49.23624	0.130659
45.915964	0.109832
45.907899	0.13406
45.913227	0.11689
45.914661	0.134548
45.421973	0.062138
45.416513	0.075874
45.409169	0.079471
45.405133	0.082143
44.755653	0.198787
44.737852	0.193977
44.712721	0.165974
44.710646	0.144424
44.367319	0.191151
44.399168	0.243017
44.354707	0.202226
44.362134	0.198969
44.329906	0.133164
44.325399	0.113017
44.332385	0.126925
44.324402	0.121343
43.421748	0.194417
43.411246	0.177451
43.41279	0.19438
43.423258	0.195928
41.504085	0.168407
41.494191	0.146607
41.496819	0.174115
41.491826	0.170546
38.612507	0.071848
38.606043	0.09678
38.603555	0.08915
38.606903	0.078379
38.47966	0.067683
38.477778	0.069904
38.473048	0.070735
38.473018	0.063173
38.095688	0.078196
38.084028	0.076507
38.082312	0.085874
38.081556	0.074184
7.610694	0.125829
7.608584	0.110942
7.614585	0.115736
7.620762	0.112566
7.530038	0.194889
7.530842	0.224554
7.532792	0.19753
7.532312	0.204491
7.49691	0.12113
7.49647	0.125769
7.498432	0.127318
7.496652	0.137817
7.393014	0.149838
7.376955	0.178249
7.382071	0.174603
