Position(THz)	Width(THz)
0.72126	0.060607
1.182831	0.071221
1.231178	0.022906
1.529974	0.027264
1.770166	0.040588
2.548937	0.071467
2.71315	0.0591
2.799271	0.05215
3.113782	0.077102
3.837488	0.040238
4.618596	0.036857
4.73453	0.037575
5.214514	0.043218
5.377219	0.038071
5.398485	0.048187
5.466624	0.050438
6.209743	0.054595
6.475526	0.041348
6.817837	0.032682
6.923484	0.033315
8.39456	0.070122
8.545973	0.072424
8.674431	0.041487
8.696851	0.066189
8.877457	0.043216
9.042264	0.064442
9.532614	0.049541
9.715634	0.059164
9.717282	0.072618
9.981006	0.08297
10.620664	0.065045
10.611447	0.060407
10.614591	0.066657
10.735521	0.04616
11.562732	0.100724
11.64267	0.063632
11.663251	0.064823
11.823744	0.049263
11.823838	0.061804
12.874598	0.035116
12.889248	0.102329
13.756814	0.050966
14.03963	0.080425
14.087923	0.076187
14.142193	0.127632
14.378127	0.044947
14.654791	0.079668
14.823098	0.064796
15.958023	0.059225
16.033968	0.09056
16.228564	0.045149
16.678373	0.058097
16.952308	0.05222
17.221017	0.039943
17.34618	0.060725
17.429986	0.057456
17.778638	0.04078
17.927472	0.087793
18.076532	0.093642
18.259379	0.052313
18.773697	0.085195
18.832364	0.072444
19.036193	0.080059
19.860912	0.059189
20.164419	0.064936
20.205558	0.097023
21.314383	0.074211
21.373986	0.083023
21.587265	0.065492
21.623636	0.068731
21.958614	0.089273
22.026868	0.044399
22.694487	0.085362
23.000329	0.079259
23.007267	0.059956
22.905894	0.125074
22.930842	0.116581
22.93856	0.134426
22.94387	0.137116
23.110275	0.045728
23.27604	0.041655
23.581274	0.080708
23.57819	0.117452
23.713093	0.101572
23.976444	0.03786
24.075478	0.094166
24.856072	0.061217
25.532345	0.065521
25.601945	0.073121
25.925647	0.046764
26.412408	0.050827
26.967165	0.048836
26.976622	0.045086
27.069703	0.047324
27.299816	0.069308
27.47203	0.042132
27.458664	0.06424
27.642895	0.058176
28.08481	0.062972
28.477835	0.061326
28.561207	0.083087
28.857026	0.102401
28.801731	0.131319
28.984946	0.050686
29.230745	0.035739
29.089451	0.09908
29.4113	0.077804
29.558765	0.085586
29.427664	0.291879
29.48217	0.274098
29.519766	0.224928
29.551145	0.209908
30.265149	0.078795
30.386834	0.09254
30.403469	0.077977
30.513707	0.0765
31.166041	0.054937
31.306103	0.084681
32.167971	0.056926
32.344256	0.075689
34.365317	0.271205
34.44911	0.234249
34.481376	0.245679
34.501002	0.226696
35.220453	0.117079
35.208747	0.118217
35.233778	0.136157
35.247577	0.131076
35.227229	0.082503
35.476462	0.063235
35.53663	0.08639
35.531444	0.07726
35.73087	0.080863
35.729902	0.107506
35.874801	0.053077
35.883591	0.054001
36.814927	0.094074
37.015004	0.098962
37.062674	0.111645
37.075928	0.098328
39.352278	0.219617
39.361603	0.199204
39.379477	0.234227
39.385131	0.170717
42.085483	0.06568
42.08053	0.075483
42.133484	0.051668
42.136744	0.066529
44.508666	0.151723
44.520672	0.169294
44.52036	0.145144
44.531567	0.157117
49.033186	0.056008
49.041258	0.071047
49.060713	0.064875
49.072635	0.063878
49.218466	0.124669
49.217513	0.116692
49.239891	0.129634
49.238305	0.148524
45.922199	0.11187
45.914654	0.117063
45.909902	0.126161
45.884046	0.131064
45.42142	0.068239
45.425136	0.063035
45.403508	0.070341
45.391657	0.072748
44.778431	0.226089
44.723965	0.171369
44.725087	0.209714
44.71402	0.171822
44.420628	0.219708
44.350402	0.165487
44.355273	0.193739
44.362675	0.182736
44.336671	0.137977
44.345939	0.130725
44.326845	0.114863
44.311872	0.11421
43.411866	0.173725
43.409254	0.182003
43.425714	0.191512
43.423641	0.174349
41.501384	0.151756
41.514116	0.162229
41.481883	0.149042
41.475757	0.116834
38.613179	0.076995
38.613989	0.081069
38.612547	0.07171
38.611253	0.076323
38.504997	0.07755
38.498041	0.0644
38.447235	0.083085
38.426911	0.097675
38.120225	0.084972
38.123676	0.067106
38.077471	0.090935
38.048492	0.132954
7.606692	0.1156
7.604104	0.121195
7.609647	0.114942
7.613825	0.108799
7.556694	0.201784
7.538687	0.224704
7.540871	0.199621
7.54826	0.169631
7.501841	0.128808
7.498368	0.13895
7.502331	0.109023
7.487678	0.10444
7.39662	0.177038
7.396245	0.190942
7.399719	0.165549
