Position(THz)	Width(THz)
3.200292	0.056573
3.022468	0.050733
17.166223	0.043805
0.946743	0.04627
1.829565	0.027118
1.921449	0.041253
2.724863	0.04237
3.022426	0.051303
3.200436	0.056888
4.04213	0.063808
4.277156	0.115631
5.265867	0.115171
5.272472	0.076489
5.395044	0.042073
5.439846	0.050922
5.841383	0.047921
6.371978	0.049739
6.445489	0.069242
6.983407	0.048566
7.661706	0.062505
7.975003	0.037401
8.363484	0.051995
8.420869	0.034888
8.58868	0.050125
8.630999	0.033644
8.775397	0.039158
9.379835	0.06139
9.660756	0.066934
9.871457	0.040083
9.971034	0.082474
10.532412	0.038405
10.664607	0.097485
10.75659	0.080984
10.748129	0.078526
11.582512	0.040397
11.624444	0.056737
11.683923	0.045854
11.822569	0.071206
12.511434	0.053297
12.879277	0.05996
13.071653	0.056468
13.077223	0.098682
13.930331	0.044692
13.965873	0.039715
14.138397	0.061412
14.199218	0.111784
14.660698	0.08678
14.921462	0.076975
15.913539	0.078013
16.457455	0.065911
16.723831	0.056939
16.914096	0.038734
17.18521	0.080284
17.167893	0.034322
17.448013	0.170382
17.380549	0.03644
17.499966	0.168539
17.71966	0.032548
17.954712	0.089172
18.080105	0.027835
18.508084	0.059723
18.96178	0.094923
19.17519	0.077977
19.366667	0.041247
19.973723	0.092619
20.388415	0.052619
21.300016	0.102255
21.666243	0.069102
21.684373	0.060585
21.918293	0.09127
21.99188	0.072653
22.03306	0.055457
22.377101	0.095775
22.887521	0.053602
22.92005	0.047452
22.907351	0.156071
22.931911	0.115801
22.935049	0.144399
22.943125	0.12773
23.071026	0.030552
23.319055	0.011238
23.644526	0.097903
23.682175	0.112318
23.689675	0.11715
24.376373	0.065426
24.483728	0.066563
24.547975	0.059523
25.0385	0.057882
25.05998	0.061227
26.129988	0.088394
26.308372	0.06016
27.221174	0.085095
27.226928	0.044697
27.282833	0.040951
27.403782	0.064791
27.414811	0.052955
27.490931	0.066676
27.672311	0.057933
27.80306	0.076929
28.360107	0.074276
28.532918	0.073304
28.711773	0.152071
28.869173	0.080108
29.010884	0.046497
29.182637	0.019674
29.064859	0.114934
29.483301	0.058253
29.632041	0.068675
29.397207	0.271434
29.479137	0.216892
29.517345	0.245287
29.56438	0.216014
30.22766	0.058426
30.379633	0.09144
30.421246	0.099925
30.540868	0.115024
31.124298	0.045139
31.325066	0.05644
32.127141	0.0526
32.379425	0.049853
34.338011	0.27445
34.46638	0.25321
34.466927	0.24841
34.495778	0.231597
35.202069	0.139816
35.2087	0.124292
35.237141	0.132236
35.246346	0.130101
35.176753	0.080921
35.476562	0.056478
35.682673	0.064767
35.686134	0.058154
35.561582	0.078785
35.613833	0.075621
35.888601	0.061009
35.919118	0.056506
36.747096	0.089588
37.004056	0.14438
37.070048	0.12495
37.123659	0.115517
39.340905	0.277077
39.338823	0.290962
39.391588	0.225082
39.377249	0.21163
42.074831	0.069052
42.074716	0.040826
42.14226	0.068631
42.155114	0.064497
44.506182	0.134602
44.51307	0.139216
44.524982	0.161517
44.537928	0.152349
49.02975	0.062715
49.033306	0.045993
49.069085	0.061176
49.075491	0.051411
49.20769	0.124028
49.220168	0.145217
49.244177	0.143331
49.25701	0.131119
45.921491	0.120909
45.930048	0.096205
45.895461	0.133179
45.88377	0.117364
45.438234	0.077059
45.432351	0.072323
45.395839	0.086278
45.376305	0.054686
44.777045	0.223126
44.721276	0.147777
44.719301	0.1613
44.705856	0.149163
44.453682	0.251197
44.354221	0.212242
44.353273	0.178497
44.342774	0.18146
44.343897	0.129054
44.337755	0.123661
44.323193	0.120388
44.309544	0.124267
43.404984	0.181816
43.410064	0.182806
43.413281	0.177714
43.411853	0.192414
41.501099	0.155868
41.506012	0.149481
41.483909	0.13074
41.487056	0.16237
38.524311	0.062217
38.610945	0.078566
38.614137	0.085591
38.5134	0.075989
38.594284	0.120091
38.606493	0.075879
38.432501	0.076706
38.392695	0.106802
38.136779	0.084485
38.128243	0.062764
38.068777	0.088871
38.035219	0.12716
7.603799	0.12656
7.610569	0.124713
7.606484	0.119671
7.609717	0.123979
7.536692	0.193139
7.523332	0.208023
7.535126	0.217053
7.529584	0.183392
7.495519	0.112556
7.491492	0.129611
7.485446	0.127675
7.502737	0.112529
7.404676	0.163559
7.405417	0.165303
7.398169	0.171248
