# frequency	phase_space
6.123266e+01	2.172075e+07
6.123272e+01	2.174155e+07
6.123513e+01	2.262935e+07
6.123584e+01	2.290648e+07
6.124370e+01	2.568539e+07
6.150771e+01	3.041821e+07
6.151803e+01	2.687081e+07
6.158887e+01	1.466443e+07
6.161911e+01	1.355273e+07
9.094664e+01	9.086305e+05
9.094664e+01	9.085417e+05
9.094664e+01	9.084539e+05
9.094664e+01	9.083857e+05
9.107058e+01	3.034985e+06
9.107059e+01	3.033875e+06
9.107059e+01	3.033301e+06
9.107059e+01	3.032454e+06
9.121619e+01	1.087617e+05
9.121621e+01	1.087970e+05
9.121622e+01	1.087997e+05
9.121624e+01	1.088422e+05
9.131807e+01	3.201268e+06
9.131809e+01	3.202703e+06
9.131810e+01	3.203473e+06
9.131813e+01	3.205106e+06
1.161369e+02	5.697486e+05
1.161369e+02	5.697492e+05
1.161721e+02	5.786689e+05
1.161721e+02	5.786690e+05
7.548168e-01	1.270593e+07
8.692685e-01	1.487517e+07
9.118212e-01	1.474501e+07
9.417703e-01	1.546396e+07
9.460014e-01	1.516698e+07
1.516628e+00	3.381887e+07
1.656578e+00	6.737956e+07
2.356849e+00	6.254790e+07
2.580940e+00	4.895303e+07
3.008387e+00	4.148197e+07
3.189128e+00	4.991172e+07
3.241744e+00	6.270419e+07
3.295303e+00	6.561424e+07
3.465662e+00	5.009936e+07
4.134504e+00	6.428026e+07
4.346817e+00	4.954686e+07
4.577251e+00	7.171554e+07
5.075941e+00	6.845509e+07
5.694147e+00	5.973155e+07
5.798791e+00	6.258867e+07
6.007809e+00	6.340375e+07
6.416367e+00	6.736048e+07
6.796246e+00	6.391349e+07
6.848067e+00	7.261146e+07
7.476693e+00	7.692544e+07
8.098082e+00	9.735765e+07
8.197705e+00	6.789274e+07
8.320242e+00	6.897959e+07
8.469805e+00	7.826796e+07
8.524115e+00	7.499074e+07
9.173110e+00	1.337218e+08
9.341359e+00	1.305365e+08
9.429327e+00	1.039066e+08
1.017038e+01	9.838176e+07
1.018763e+01	9.483183e+07
1.023483e+01	7.849117e+07
1.036980e+01	8.628565e+07
1.046707e+01	8.160747e+07
1.068868e+01	1.009956e+08
1.069734e+01	8.867728e+07
1.087926e+01	1.340481e+08
1.089371e+01	1.239534e+08
1.175388e+01	1.007686e+08
1.215804e+01	1.029215e+08
1.226644e+01	1.041136e+08
1.228326e+01	1.063568e+08
1.228867e+01	9.906084e+07
1.230765e+01	9.518335e+07
1.262927e+01	8.947412e+07
1.285455e+01	1.069535e+08
1.311320e+01	1.359516e+08
1.333014e+01	1.438450e+08
1.343344e+01	9.100083e+07
1.351797e+01	1.072262e+08
1.371543e+01	1.171430e+08
1.390281e+01	1.022579e+08
1.424509e+01	1.144525e+08
1.438704e+01	1.014746e+08
1.465148e+01	1.055509e+08
1.535044e+01	1.189618e+08
1.544201e+01	1.111718e+08
1.618093e+01	1.218297e+08
1.641295e+01	1.102765e+08
1.662683e+01	1.046053e+08
1.680469e+01	1.266069e+08
1.691648e+01	1.101005e+08
1.706313e+01	1.044340e+08
1.712270e+01	1.190937e+08
1.739541e+01	1.301850e+08
1.741811e+01	1.510269e+08
1.754407e+01	1.184018e+08
1.786883e+01	1.059545e+08
1.821083e+01	1.382151e+08
1.823427e+01	1.570691e+08
1.867554e+01	1.059970e+08
1.886885e+01	1.180162e+08
1.920436e+01	1.361884e+08
1.923298e+01	1.426616e+08
1.965405e+01	1.217973e+08
1.971328e+01	1.109127e+08
1.977129e+01	1.189823e+08
2.012080e+01	1.085992e+08
2.015084e+01	1.277744e+08
2.040240e+01	1.232011e+08
