Position(THz)	Width(THz)
1.058401	0.033412
1.370348	0.030072
1.580888	0.021794
1.622947	0.037647
2.153808	0.167991
2.583609	0.039595
2.667885	0.039286
2.702269	0.062357
3.26843	0.059506
3.344574	0.057121
3.729323	0.056125
4.202312	0.085646
4.78761	0.055659
5.132456	0.037836
5.216519	0.05414
5.414252	0.04845
5.427238	0.035329
5.495231	0.083359
5.683685	0.056526
6.159347	0.068549
7.612269	0.069184
7.840988	0.074323
7.856995	0.079921
8.478082	0.053213
8.627234	0.117506
8.826008	0.04257
9.004612	0.060048
9.119846	0.047335
9.213151	0.081919
9.765179	0.072844
9.821877	0.055266
9.845542	0.089388
10.190987	0.076356
10.305595	0.103518
10.332036	0.042961
10.6228	0.040145
11.354482	0.108546
11.575065	0.039693
11.616304	0.071025
11.693577	0.075952
11.942391	0.09774
12.28146	0.079837
12.300304	0.084474
12.901026	0.119842
13.520472	0.07945
13.72732	0.074986
13.884088	0.108828
14.122812	0.10275
14.138857	0.10428
14.202311	0.076599
14.194734	0.077331
14.281608	0.064726
14.649648	0.132717
15.014747	0.127443
15.090476	0.085286
16.009171	0.097648
16.605996	0.095651
16.892349	0.079595
16.999594	0.071469
17.193742	0.073076
17.23539	0.091444
17.269352	0.042786
17.786426	0.049079
17.818757	0.078748
17.871941	0.090121
18.056591	0.053237
18.525802	0.055719
18.779402	0.080772
18.982841	0.109392
19.068665	0.082397
19.21169	0.089295
19.473869	0.117288
19.550206	0.118686
19.878936	0.064076
19.781452	0.098828
19.799033	0.113842
20.507285	0.089636
21.154421	0.07782
21.963317	0.096298
22.003595	0.082159
22.718794	0.176421
22.869137	0.161934
23.144486	0.052273
22.970209	0.175188
23.192171	0.052162
23.089443	0.166288
23.234603	0.021029
23.32942	0.032775
23.655685	0.054187
23.713864	0.046374
24.213612	0.128083
24.276425	0.112244
24.387714	0.094321
24.424152	0.121948
25.553364	0.085753
25.858102	0.054956
25.981148	0.087092
26.057463	0.096464
26.013195	0.204977
26.01078	0.179849
26.006202	0.196923
26.021778	0.197339
26.569088	0.04781
26.722433	0.052184
26.728963	0.042201
27.003976	0.121286
27.342534	0.085074
27.432406	0.09556
27.688495	0.137776
27.697383	0.086081
28.318045	0.078503
28.631922	0.062143
28.741726	0.069311
28.567438	0.189617
28.627837	0.192909
28.654612	0.197442
28.719012	0.182773
29.034168	0.0566
29.179919	0.027001
29.188093	0.041565
30.314801	0.056456
30.368788	0.054703
30.435838	0.093143
30.500956	0.078027
31.211441	0.097382
31.276211	0.073294
31.79146	0.154549
31.826606	0.141385
31.835279	0.13587
31.84813	0.168096
32.213581	0.057228
32.300889	0.081956
32.537618	0.310948
32.546274	0.299192
32.542762	0.311379
32.555924	0.302145
33.89776	0.237581
33.913374	0.253153
33.92641	0.211849
33.926161	0.26889
35.233389	0.102533
35.224977	0.102806
35.236502	0.1086
35.247878	0.118639
35.752607	0.104841
35.778552	0.070665
35.83095	0.079381
35.877022	0.070763
39.362481	0.219369
39.389549	0.274687
39.365298	0.221645
39.39776	0.277125
42.060918	0.136203
42.10603	0.21531
42.114365	0.153873
42.108455	0.200363
44.54851	0.230569
44.536081	0.248848
44.548599	0.221556
44.536514	0.220379
49.03267	0.07262
49.03126	0.072645
49.038767	0.070304
49.0505	0.086837
49.234009	0.122816
49.238265	0.118401
49.244231	0.129899
49.247062	0.109066
45.901417	0.179126
45.915323	0.185447
45.895473	0.186886
45.890979	0.260617
45.41041	0.062532
45.404482	0.077308
45.394727	0.078412
45.388062	0.069169
44.3518	0.12938
44.343521	0.123511
44.345128	0.140977
44.336235	0.125864
43.422045	0.190536
43.413925	0.204149
43.429635	0.207127
43.423348	0.205781
41.533259	0.20174
41.523665	0.210246
41.530972	0.211972
41.512755	0.216405
38.631389	0.076085
38.628583	0.075934
38.637538	0.081457
38.628955	0.074302
38.516608	0.03636
38.515999	0.043679
38.478178	0.031372
38.469801	0.032263
38.126152	0.035329
38.121653	0.042649
38.106871	0.055524
38.077648	0.034397
7.617723	0.120519
7.618279	0.105666
7.623796	0.118291
7.629647	0.101818
7.564822	0.195101
7.541178	0.169974
7.555586	0.197563
7.554422	0.167777
7.543477	0.101044
7.53994	0.085257
7.540092	0.101698
7.541585	0.108741
7.41835	0.084977
7.41261	0.087781
7.416789	0.093251
