Position(THz)	Width(THz)
0.71881	0.067803
1.127609	0.04874
1.230973	0.031974
1.525364	0.040245
1.771273	0.04642
2.250692	0.076498
2.692766	0.060187
2.70676	0.056315
3.120215	0.059774
3.765309	0.052628
4.233202	0.067971
4.335551	0.047285
4.683285	0.067343
5.123341	0.038599
5.269391	0.038653
5.261104	0.047379
5.385737	0.037704
5.423029	0.050764
6.039866	0.091586
6.575471	0.049883
7.385	0.063165
7.549501	0.089041
8.03356	0.060144
8.224367	0.044149
8.443177	0.102243
8.505374	0.055602
9.320575	0.053848
9.429527	0.058682
9.427002	0.125784
9.483389	0.09326
9.510578	0.072007
10.120909	0.036209
10.231719	0.033348
10.272169	0.069201
10.429641	0.072655
10.787564	0.057835
11.028552	0.068955
11.296377	0.070849
11.573124	0.05488
11.695337	0.090338
11.986496	0.080298
12.208236	0.091021
12.613996	0.093443
13.193251	0.069721
13.2107	0.099125
13.671958	0.081856
13.915399	0.124426
14.094263	0.095808
14.149433	0.091378
14.200557	0.08863
14.336547	0.136919
14.347489	0.068528
14.577831	0.092581
14.695673	0.097811
15.140013	0.102476
16.469195	0.085191
16.514652	0.081308
16.939303	0.071748
17.089549	0.145634
17.174464	0.054652
17.300543	0.065299
17.422522	0.063239
17.680318	0.043299
17.829754	0.099451
17.776086	0.058947
18.212686	0.067081
18.247095	0.133219
18.570501	0.067012
18.680284	0.078903
19.128142	0.13164
19.34958	0.10039
19.312203	0.1179
19.422789	0.165373
19.858132	0.131474
19.860091	0.111675
20.109302	0.063534
20.327369	0.081644
21.526703	0.097279
21.928281	0.115368
22.019936	0.070451
22.652233	0.158054
23.025796	0.036038
23.04849	0.056126
22.871067	0.122952
22.916333	0.167226
23.246165	0.042104
23.094526	0.157855
23.311788	0.028855
23.925712	0.038511
24.001668	0.05932
24.197804	0.099436
24.321142	0.110727
24.377461	0.087209
24.483649	0.126008
25.307879	0.088789
25.519142	0.049808
25.605738	0.067614
25.998791	0.192654
26.021625	0.167321
26.017349	0.212876
26.021773	0.181637
26.282236	0.067464
26.614694	0.049328
26.891043	0.069564
27.030277	0.049648
27.114904	0.10192
27.284968	0.083466
27.464651	0.082443
27.695043	0.105791
27.699204	0.077078
28.110851	0.14366
28.575748	0.102276
28.727692	0.043459
28.518701	0.17889
28.595784	0.195814
28.669685	0.147076
28.764308	0.143218
29.131049	0.044658
29.176929	0.0335
29.206907	0.049086
30.274733	0.049903
30.390144	0.073156
30.400778	0.10015
30.523593	0.066206
31.171472	0.061425
31.293564	0.090768
31.775934	0.160899
31.842931	0.117184
31.841942	0.146833
31.862819	0.13366
32.17131	0.082353
32.334708	0.078553
32.551662	0.336798
32.565547	0.282928
32.539754	0.31625
32.544255	0.312248
33.902491	0.261894
33.921895	0.247558
33.92951	0.27238
33.926523	0.251962
35.219139	0.098907
35.224833	0.11611
35.243903	0.109127
35.254322	0.11995
35.70836	0.114847
35.732537	0.067417
35.86772	0.088277
35.916029	0.077874
39.362026	0.243238
39.374493	0.27425
39.374969	0.245509
39.412671	0.299606
42.057832	0.136095
42.098706	0.193655
42.120025	0.177255
42.112042	0.183583
44.535226	0.219133
44.547617	0.241127
44.550393	0.215936
44.557555	0.218456
49.027966	0.087821
49.026439	0.055512
49.054896	0.06434
49.060556	0.082261
49.236356	0.136626
49.236144	0.110784
49.246994	0.106208
49.257057	0.118374
45.920508	0.201715
45.919981	0.197063
45.888009	0.211413
45.894577	0.178768
45.418807	0.063468
45.422683	0.056388
45.391286	0.075472
45.379587	0.065002
44.346631	0.120605
44.354217	0.131156
44.331908	0.112151
44.322751	0.106762
43.428333	0.181759
43.425809	0.201777
43.419331	0.200273
43.429451	0.178674
41.534088	0.219101
41.526198	0.235251
41.504854	0.186912
41.51923	0.232527
38.631804	0.074643
38.630542	0.075339
38.627509	0.060489
38.627396	0.073326
38.527821	0.028356
38.521072	0.034867
38.471069	0.029782
38.433194	0.027933
38.13355	0.040184
38.131572	0.044205
38.084403	0.046973
38.07095	0.036654
7.618336	0.129958
7.628842	0.117913
7.620082	0.117285
7.631863	0.120568
7.559315	0.168911
7.552738	0.206231
7.551663	0.1778
7.555214	0.157559
7.547432	0.116732
7.540079	0.105486
7.542396	0.081427
7.545369	0.100258
7.42255	0.079221
7.422329	0.069064
7.414643	0.083997
