Position(THz)	Width(THz)
0.369355	0.046967
0.636096	0.023181
0.779812	0.035787
0.969188	0.056861
1.879969	0.033931
1.928876	0.040054
2.723867	0.043502
2.970399	0.053389
3.051248	0.077255
3.902581	0.087688
4.056647	0.157212
4.673522	0.042915
5.046678	0.109561
5.108278	0.055069
5.121352	0.039369
5.322092	0.059819
5.379207	0.04962
5.419221	0.049513
6.246669	0.081501
7.015656	0.061155
7.018078	0.085332
7.504197	0.120697
8.030021	0.031867
8.073564	0.032037
8.282657	0.071139
8.447805	0.119405
9.092848	0.077814
9.040983	0.125575
9.682512	0.054246
9.745762	0.064961
9.74784	0.068764
10.177573	0.042678
10.314195	0.046288
10.282563	0.081361
10.52657	0.120634
10.688406	0.07132
10.937291	0.059737
11.129469	0.0532
11.540797	0.066382
11.689729	0.150788
11.740349	0.072163
12.415162	0.076949
12.825878	0.129117
12.956594	0.084149
13.457848	0.12876
13.636558	0.082949
13.964728	0.089872
14.080498	0.086415
14.159288	0.092174
14.167278	0.094786
14.219372	0.068274
14.391297	0.082836
14.410869	0.085031
14.727085	0.072681
15.237446	0.105077
16.420571	0.070258
16.897727	0.096858
16.907348	0.092202
17.162681	0.067656
17.317742	0.11537
17.344133	0.057506
17.606173	0.061634
17.665586	0.123937
17.658687	0.117776
17.752562	0.08375
17.937249	0.123837
18.329923	0.057858
18.376114	0.043354
18.428167	0.055822
19.049219	0.10309
19.22287	0.150733
19.437282	0.098867
19.35568	0.152195
19.871932	0.110934
19.919823	0.110814
20.279861	0.05583
20.239616	0.099727
21.841779	0.104968
21.909776	0.07929
22.022222	0.064286
22.607798	0.14379
22.74057	0.12828
22.935019	0.044268
22.964683	0.042137
22.944604	0.160963
23.248973	0.040334
23.120949	0.132705
23.283431	0.006732
24.201067	0.054444
24.318492	0.037649
24.18786	0.097494
24.341832	0.129021
24.378968	0.100251
24.545847	0.131552
25.208324	0.071742
25.109463	0.079437
25.256327	0.08332
26.01265	0.179066
25.997887	0.188206
26.02817	0.184839
26.01619	0.218631
26.426097	0.049783
26.528569	0.035263
27.177253	0.092858
27.193214	0.064741
27.22732	0.098826
27.278878	0.033676
27.474919	0.06833
27.691534	0.128452
27.718556	0.053472
27.851719	0.083755
28.368596	0.072575
28.785059	0.077249
28.782997	0.050389
28.590213	0.175564
28.679423	0.202279
28.791658	0.11606
29.175082	0.036046
29.19706	0.062638
29.216613	0.038229
30.266727	0.049783
30.384772	0.110195
30.414602	0.077408
30.543922	0.088794
31.136845	0.081802
31.30432	0.088631
31.776165	0.158531
31.82438	0.159084
31.864929	0.150386
31.862649	0.143507
32.134987	0.109251
32.369519	0.061918
32.555014	0.33272
32.550903	0.266585
32.540162	0.310381
32.525855	0.321219
33.908557	0.280155
33.926918	0.24772
33.926084	0.265277
33.929577	0.272365
35.220021	0.106101
35.227174	0.125379
35.241045	0.105127
35.254089	0.117956
35.712071	0.13113
35.700945	0.075362
35.884715	0.077419
35.941945	0.073321
39.361677	0.3128
39.350038	0.277736
39.380171	0.228572
39.398837	0.268912
42.087609	0.173391
42.05498	0.11213
42.134572	0.156332
42.122094	0.14668
44.530461	0.273222
44.538824	0.217077
44.546368	0.189689
44.562246	0.223465
49.020447	0.082805
49.027632	0.075322
49.053025	0.08208
49.061962	0.086398
49.232845	0.098134
49.225061	0.106108
49.249062	0.117564
49.254989	0.135283
45.919889	0.23647
45.918079	0.193663
45.900958	0.195469
45.891155	0.191251
45.419358	0.052753
45.420014	0.073783
45.382312	0.062599
45.377047	0.041946
44.361676	0.138465
44.354928	0.124154
44.334164	0.138268
44.314462	0.118052
43.420077	0.200617
43.422032	0.190818
43.424855	0.206256
43.422028	0.196965
41.537092	0.204124
41.53566	0.213114
41.522769	0.205371
41.51838	0.20225
38.529443	0.033385
38.62887	0.064635
38.637475	0.078681
38.63113	0.080475
38.627886	0.070324
38.525615	0.034066
38.467318	0.035028
38.426566	0.034304
38.155154	0.056184
38.145154	0.057097
38.080146	0.039037
38.065366	0.04545
7.618926	0.120452
7.631759	0.121219
7.618606	0.12388
7.626498	0.116896
7.568497	0.20448
7.549804	0.152319
7.540949	0.180415
7.550085	0.180524
7.5415	0.115399
7.535874	0.088359
7.548847	0.101483
7.537777	0.093318
7.418733	0.077194
7.418115	0.081201
7.418315	0.087429
