Position(THz)	Width(THz)
1.061115	0.029428
1.372393	0.036683
1.580854	0.021434
1.624803	0.039662
2.155813	0.084018
2.585217	0.045334
2.662657	0.046895
2.702939	0.06228
3.273873	0.051097
3.341403	0.049115
3.730574	0.049417
4.19371	0.068794
4.792054	0.053599
5.132115	0.043683
5.215192	0.058542
5.41378	0.045692
5.42701	0.018336
5.494258	0.065778
5.681437	0.05022
6.158302	0.059171
7.614502	0.085509
7.840653	0.061853
7.851048	0.068699
8.476554	0.041144
8.622506	0.094114
8.824978	0.042951
8.996719	0.057225
9.118778	0.042525
9.21794	0.061258
9.772142	0.065918
9.82268	0.056156
9.841634	0.084459
10.189279	0.088079
10.307131	0.089711
10.333851	0.04622
10.623793	0.035228
11.357632	0.098704
11.5767	0.055912
11.620162	0.069096
11.697756	0.077694
11.94722	0.089416
12.278457	0.07442
12.292867	0.079956
12.899626	0.102789
13.516312	0.081144
13.729639	0.050511
13.879704	0.095265
14.109049	0.100848
14.139565	0.114675
14.199873	0.076732
14.200147	0.085545
14.279635	0.068282
14.645584	0.109221
15.008472	0.103477
15.09534	0.082671
16.017112	0.074396
16.603971	0.094679
16.896554	0.096947
17.004174	0.068711
17.200667	0.069334
17.233656	0.086522
17.267213	0.045251
17.786809	0.0481
17.820912	0.077644
17.87201	0.064626
18.057542	0.051049
18.526269	0.078482
18.779377	0.083792
18.975221	0.137113
19.064859	0.092669
19.207624	0.098989
19.475758	0.114594
19.547962	0.097082
19.876615	0.065326
19.782266	0.112009
19.802207	0.102993
20.513062	0.075384
21.154968	0.074635
21.963175	0.080102
22.004461	0.092126
22.72405	0.183415
22.866046	0.168634
23.144704	0.049439
22.980627	0.174305
23.195977	0.05595
23.069394	0.171419
23.23357	0.022889
23.330486	0.023492
23.654396	0.056015
23.717208	0.035225
24.207882	0.123291
24.275523	0.116735
24.383029	0.123604
24.433896	0.118337
25.556282	0.098779
25.864814	0.044175
25.97595	0.086666
26.056575	0.077796
26.016164	0.144569
26.007532	0.159122
26.024486	0.201258
26.032534	0.197838
26.567376	0.054714
26.722109	0.049282
26.726751	0.043908
27.004488	0.126674
27.342392	0.086701
27.432872	0.109627
27.690914	0.117697
27.680103	0.08871
28.318514	0.0828
28.633939	0.053054
28.7472	0.072173
28.573153	0.180746
28.61785	0.18744
28.66772	0.139207
28.716101	0.150246
29.032803	0.054132
29.179838	0.029077
29.197227	0.052957
30.3126	0.061426
30.368455	0.054521
30.437501	0.097674
30.488176	0.07221
31.211221	0.096983
31.274021	0.091397
31.788876	0.136981
31.834217	0.127681
31.827873	0.151824
31.857906	0.141387
32.20884	0.068882
32.298032	0.082443
32.542881	0.313219
32.566601	0.304711
32.529745	0.339862
32.553982	0.334183
33.917184	0.245678
33.925658	0.266161
33.917958	0.25428
33.921338	0.269227
35.233558	0.101704
35.231524	0.1096
35.244598	0.118101
35.245787	0.124556
35.75413	0.091728
35.779293	0.087736
35.82972	0.084431
35.879664	0.082385
39.375752	0.255016
39.390926	0.268034
39.383303	0.22083
39.392743	0.233801
42.073131	0.124537
42.098695	0.175504
42.117467	0.160384
42.116273	0.182645
44.53954	0.223418
44.541297	0.235258
44.548621	0.233048
44.552244	0.23323
49.031398	0.068779
49.034427	0.090815
49.042073	0.072001
49.053029	0.093245
49.23516	0.115752
49.236816	0.104387
49.24446	0.114876
49.239948	0.130797
45.90644	0.181036
45.903802	0.191451
45.903137	0.201909
45.900529	0.186942
45.412637	0.069368
45.407741	0.076889
45.396086	0.080116
45.387105	0.071328
44.351217	0.118445
44.350075	0.131671
44.331563	0.104686
44.322812	0.112293
43.425915	0.196317
43.422543	0.202682
43.419256	0.203439
43.421422	0.208524
41.526614	0.220028
41.521186	0.231345
41.522137	0.204884
41.515188	0.199013
38.632884	0.07408
38.631043	0.06852
38.628227	0.073954
38.624741	0.086384
38.515165	0.045108
38.516467	0.031815
38.477924	0.035385
38.470721	0.033212
38.125269	0.040701
38.122664	0.034568
38.101393	0.059253
38.078144	0.033485
7.620887	0.108342
7.623726	0.133245
7.62049	0.113171
7.621707	0.131915
7.554199	0.152325
7.549837	0.1874
7.555276	0.203118
7.548398	0.169853
7.541783	0.108542
7.543261	0.097815
7.547362	0.110726
7.536425	0.091557
7.426011	0.081724
7.418421	0.08344
7.423343	0.078558
