# Frequency(THz) PDOS
0.000000 0.000760
0.159155 0.001566
0.318310 0.004025
0.477465 0.008134
0.636620 0.013674
0.795775 0.020319
0.954930 0.028188
1.114085 0.038514
1.273240 0.053799
1.432394 0.076934
1.591549 0.109402
1.750704 0.149415
1.909859 0.191164
2.069014 0.225971
2.228169 0.245150
2.387324 0.243375
2.546479 0.220934
2.705634 0.183707
2.864789 0.140865
3.023944 0.101391
3.183099 0.071076
3.342254 0.051274
3.501409 0.039708
3.660564 0.032559
3.819719 0.026619
3.978874 0.020464
4.138029 0.014359
4.297183 0.009311
4.456338 0.006057
4.615493 0.004558
4.774648 0.004148
4.933803 0.004041
5.092958 0.003772
5.252113 0.003317
5.411268 0.002902
5.570423 0.002735
5.729578 0.002846
5.888733 0.003122
6.047888 0.003435
6.207043 0.003736
6.366198 0.004044
6.525353 0.004381
6.684508 0.004718
6.843663 0.005012
7.002817 0.005284
7.161972 0.005669
7.321127 0.006377
7.480282 0.007558
7.639437 0.009177
7.798592 0.010959
7.957747 0.012475
8.116902 0.013305
8.276057 0.013220
8.435212 0.012257
8.594367 0.010696
8.753522 0.008929
8.912677 0.007313
9.071832 0.006063
9.230987 0.005223
9.390142 0.004701
9.549297 0.004341
9.708452 0.004001
9.867606 0.003603
10.026761 0.003144
10.185916 0.002678
10.345071 0.002278
10.504226 0.002000
10.663381 0.001860
10.822536 0.001841
10.981691 0.001904
11.140846 0.002010
11.300001 0.002131
11.459156 0.002246
11.618311 0.002330
11.777466 0.002355
11.936621 0.002296
12.095776 0.002147
12.254931 0.001928
12.414086 0.001690
12.573241 0.001493
12.732395 0.001388
12.891550 0.001392
13.050705 0.001490
13.209860 0.001637
13.369015 0.001775
13.528170 0.001851
13.687325 0.001827
13.846480 0.001696
14.005635 0.001481
14.164790 0.001238
14.323945 0.001043
14.483100 0.000968
14.642255 0.001059
14.801410 0.001318
14.960565 0.001703
15.119720 0.002139
15.278875 0.002548
15.438029 0.002872
15.597184 0.003085
15.756339 0.003193
15.915494 0.003212
16.074649 0.003158
16.233804 0.003039
16.392959 0.002864
16.552114 0.002658
16.711269 0.002471
16.870424 0.002381
17.029579 0.002472
17.188734 0.002799
17.347889 0.003355
17.507044 0.004059
17.666199 0.004768
17.825354 0.005320
17.984509 0.005588
18.143664 0.005520
18.302818 0.005154
18.461973 0.004600
18.621128 0.003994
18.780283 0.003449
18.939438 0.003026
19.098593 0.002726
19.257748 0.002506
19.416903 0.002312
19.576058 0.002097
19.735213 0.001844
19.894368 0.001563
20.053523 0.001283
20.212678 0.001043
20.371833 0.000869
20.530988 0.000773
20.690143 0.000746
20.849298 0.000764
21.008452 0.000800
21.167607 0.000837
21.326762 0.000877
21.485917 0.000936
21.645072 0.001038
21.804227 0.001210
21.963382 0.001481
22.122537 0.001887
22.281692 0.002472
22.440847 0.003268
22.600002 0.004262
22.759157 0.005362
22.918312 0.006388
23.077467 0.007110
23.236622 0.007332
23.395777 0.006990
23.554932 0.006212
23.714087 0.005305
23.873241 0.004648
24.032396 0.004542
24.191551 0.005075
24.350706 0.006072
24.509861 0.007159
24.669016 0.007914
24.828171 0.008041
24.987326 0.007481
25.146481 0.006420
25.305636 0.005196
25.464791 0.004147
25.623946 0.003485
25.783101 0.003240
25.942256 0.003288
26.101411 0.003434
26.260566 0.003510
26.419721 0.003435
26.578875 0.003218
26.738030 0.002931
26.897185 0.002653
27.056340 0.002436
27.215495 0.002304
27.374650 0.002260
27.533805 0.002315
27.692960 0.002495
27.852115 0.002825
28.011270 0.003310
28.170425 0.003905
28.329580 0.004504
28.488735 0.004965
28.647890 0.005149
28.807045 0.004970
28.966200 0.004428
29.125355 0.003615
29.284510 0.002684
29.443664 0.001799
29.602819 0.001083
29.761974 0.000590
29.921129 0.000307
30.080284 0.000176
30.239439 0.000126
30.398594 0.000106
30.557749 0.000089
30.716904 0.000071
30.876059 0.000058
31.035214 0.000051
31.194369 0.000051
31.353524 0.000052
31.512679 0.000050
31.671834 0.000045
31.830989 0.000040
31.990144 0.000036
32.149299 0.000034
32.308453 0.000034
32.467608 0.000032
32.626763 0.000030
32.785918 0.000026
32.945073 0.000024
33.104228 0.000022
33.263383 0.000021
33.422538 0.000021
33.581693 0.000021
33.740848 0.000021
33.900003 0.000022
34.059158 0.000023
34.218313 0.000024
34.377468 0.000024
34.536623 0.000023
34.695778 0.000021
34.854933 0.000019
35.014087 0.000017
35.173242 0.000016
35.332397 0.000016
35.491552 0.000016
35.650707 0.000016
35.809862 0.000016
35.969017 0.000015
36.128172 0.000015
36.287327 0.000014
36.446482 0.000013
36.605637 0.000012
36.764792 0.000011
36.923947 0.000011
37.083102 0.000011
37.242257 0.000011
37.401412 0.000011
37.560567 0.000012
37.719722 0.000012
37.878876 0.000013
38.038031 0.000013
38.197186 0.000014
38.356341 0.000014
38.515496 0.000015
38.674651 0.000019
38.833806 0.000024
38.992961 0.000032
39.152116 0.000039
39.311271 0.000045
39.470426 0.000047
39.629581 0.000045
39.788736 0.000040
39.947891 0.000032
40.107046 0.000023
40.266201 0.000017
40.425356 0.000013
40.584510 0.000012
40.743665 0.000013
40.902820 0.000014
41.061975 0.000015
41.221130 0.000015
41.380285 0.000014
41.539440 0.000013
41.698595 0.000013
41.857750 0.000013
42.016905 0.000014
42.176060 0.000014
42.335215 0.000014
42.494370 0.000014
42.653525 0.000013
42.812680 0.000012
42.971835 0.000011
43.130990 0.000010
43.290145 0.000010
43.449299 0.000009
43.608454 0.000009
43.767609 0.000009
43.926764 0.000008
44.085919 0.000007
44.245074 0.000007
44.404229 0.000007
44.563384 0.000008
44.722539 0.000008
44.881694 0.000008
45.040849 0.000007
45.200004 0.000007
45.359159 0.000007
45.518314 0.000009
45.677469 0.000011
45.836624 0.000011
45.995779 0.000008
46.154933 0.000007
46.314088 0.000007
46.473243 0.000011
46.632398 0.000016
46.791553 0.000017
46.950708 0.000012
47.109863 0.000005
47.269018 0.000006
47.428173 0.000021
47.587328 0.000044
47.746483 0.000057
47.905638 0.000042
48.064793 0.000002
48.223948 -0.000019
48.383103 0.000067
48.542258 0.000360
48.701413 0.000922
48.860568 0.001732
49.019722 0.002659
49.178877 0.003494
49.338032 0.004017
49.497187 0.004081
49.656342 0.003669
49.815497 0.002899
49.974652 0.001978
50.133807 0.001123
50.292962 0.000487
50.452117 0.000123
50.611272 -0.000011
50.770427 -0.000009
50.929582 0.000036
51.088737 0.000063
51.247892 0.000057
51.407047 0.000034
51.566202 0.000016
51.725357 0.000016
51.884511 0.000030
52.043666 0.000045
52.202821 0.000051
52.361976 0.000049
52.521131 0.000048
52.680286 0.000055
52.839441 0.000072
52.998596 0.000086
53.157751 0.000084
53.316906 0.000062
53.476061 0.000034
53.635216 0.000025
53.794371 0.000050
53.953526 0.000094
54.112681 0.000115
54.271836 0.000072
54.430991 -0.000027
54.590145 -0.000080
54.749300 0.000102
54.908455 0.000731
55.067610 0.001936
55.226765 0.003662
55.385920 0.005629
55.545075 0.007391
55.704230 0.008485
55.863385 0.008602
56.022540 0.007710
56.181695 0.006066
56.340850 0.004120
56.500005 0.002342
56.659160 0.001060
56.818315 0.000374
56.977470 0.000176
57.136625 0.000248
57.295780 0.000377
57.454934 0.000437
57.614089 0.000406
57.773244 0.000326
57.932399 0.000249
58.091554 0.000198
58.250709 0.000168
58.409864 0.000147
58.569019 0.000134
58.728174 0.000140
58.887329 0.000169
59.046484 0.000203
59.205639 0.000209
59.364794 0.000169
59.523949 0.000098
59.683104 0.000052
59.842259 0.000079
60.001414 0.000168
60.160568 0.000230
60.319723 0.000148
60.478878 -0.000102
60.638033 -0.000332
60.797188 -0.000121
60.956343 0.001067
61.115498 0.003625
61.274653 0.007528
61.433808 0.012194
61.592963 0.016582
61.752118 0.019529
61.911273 0.020181
62.070428 0.018344
62.229583 0.014555
62.388738 0.009869
62.547893 0.005447
62.707048 0.002142
62.866203 0.000268
63.025357 -0.000379
63.184512 -0.000299
63.343667 -0.000005
63.502822 0.000182
63.661977 0.000181
63.821132 0.000074
63.980287 -0.000021
64.139442 -0.000042
64.298597 -0.000004
64.457752 0.000042
64.616907 0.000056
64.776062 0.000035
64.935217 0.000005
65.094372 -0.000009
65.253527 -0.000001
65.412682 0.000016
65.571837 0.000027
65.730991 0.000023
65.890146 0.000010
66.049301 0.000002
66.208456 0.000002
66.367611 0.000008
66.526766 0.000014
66.685921 0.000013
66.845076 0.000007
67.004231 0.000001
67.163386 -0.000001
67.322541 0.000003
67.481696 0.000007
67.640851 0.000008
67.800006 0.000006
67.959161 0.000002
68.118316 -0.000000
68.277471 0.000001
68.436626 0.000004
68.595780 0.000005
68.754935 0.000004
68.914090 0.000002
69.073245 0.000001
69.232400 0.000002
69.391555 0.000004
69.550710 0.000006
69.709865 0.000006
69.869020 0.000004
70.028175 0.000003
70.187330 0.000003
70.346485 0.000003
70.505640 0.000004
70.664795 0.000004
70.823950 0.000003
70.983105 0.000002
71.142260 0.000002
71.301415 0.000003
71.460569 0.000004
71.619724 0.000004
71.778879 0.000004
71.938034 0.000003
72.097189 0.000003
72.256344 0.000003
