Position(THz)	Width(THz)
1.376192	0.05768
1.432715	0.062737
1.474821	0.069143
1.471726	0.052174
1.339348	0.050221
1.578325	0.039785
1.620864	0.027666
2.149395	0.093544
2.477562	0.050328
2.694575	0.061363
2.909328	0.117727
2.949667	0.10573
3.269854	0.054831
3.27804	0.067049
4.123534	0.078936
4.657114	0.14737
5.251316	0.115924
5.300811	0.100504
5.57233	0.100254
5.910438	0.083041
6.322211	0.062677
6.937771	0.143701
7.217197	0.167849
8.140436	0.173068
8.301694	0.219178
8.182984	0.157789
8.17859	0.172462
8.659209	0.350526
8.886265	0.126019
9.385619	0.066543
9.491339	0.075698
9.517684	0.256262
9.727201	0.130506
9.973828	0.173193
10.087509	0.166801
10.4982	0.185813
10.955133	0.316707
11.278305	0.375512
11.548137	0.138124
11.633246	0.130751
11.614126	0.290045
11.794511	0.227947
11.815947	0.2514
12.370442	0.101613
12.373828	0.109147
12.378066	0.115617
12.389444	0.138907
13.21325	0.274339
13.328314	0.241429
13.391134	0.10385
13.401982	0.277356
13.585368	0.2374
13.78282	0.121483
14.914082	0.87778
15.985268	0.145356
15.99032	0.167637
16.290352	0.34476
16.37075	0.208502
16.496889	0.25491
16.619682	0.225317
16.685965	0.254893
17.011107	0.097518
17.232461	0.106185
17.25627	0.077332
17.357917	0.07723
17.469175	0.096831
17.52596	0.119001
17.744084	0.121252
17.951438	0.122707
18.478331	0.448504
18.685855	0.22071
18.706045	0.352234
18.884282	0.275119
19.103651	0.239119
19.065212	0.35292
19.251214	0.179931
19.530715	0.192188
19.608341	0.197902
19.58289	0.330819
19.927187	0.354894
20.234833	0.302237
20.36871	0.222137
20.348635	0.277726
20.828755	0.137563
21.289612	0.117054
21.899335	0.132443
21.964762	0.1037
22.096187	0.362235
22.136272	0.407123
22.173998	0.365731
22.164708	0.336778
23.137515	0.076398
23.184842	0.106988
23.231224	0.017605
23.323546	0.047938
23.67991	0.123755
23.734392	0.125566
25.367779	0.073947
25.932514	0.08978
25.872501	0.070761
26.039491	0.133093
25.799112	0.250582
25.786336	0.233456
25.804619	0.249273
25.81613	0.367307
26.575501	0.045654
26.722995	0.042789
26.702295	0.0924
26.920959	0.219992
26.811558	0.259753
26.808358	0.288493
26.807522	0.262984
26.955097	0.120831
27.34874	0.094042
27.44312	0.082441
27.693209	0.071501
27.762921	0.085571
28.284894	0.247854
28.601747	0.132858
28.745677	0.166642
29.026607	0.204787
29.178271	0.029805
29.190749	0.052635
30.277084	0.091509
30.354254	0.091977
30.396233	0.100103
30.468207	0.109746
31.177708	0.081877
31.252642	0.085872
32.20336	0.159991
32.303249	0.129917
31.998983	0.411311
32.038862	0.3449
32.02756	0.35362
32.037136	0.389407
32.328352	0.370607
32.357158	0.356598
32.328125	0.391293
32.30555	0.420476
35.043952	0.272861
35.022836	0.281682
35.033774	0.280139
35.040158	0.264047
35.695987	0.231768
35.72609	0.235555
35.791183	0.214928
35.837418	0.223124
39.304212	0.232892
39.311324	0.207023
39.30502	0.22012
39.323812	0.22797
42.07978	0.351301
42.063832	0.343143
42.118253	0.493413
42.115311	0.432926
44.405261	0.267175
44.411302	0.256906
44.409366	0.265628
44.419321	0.237891
48.972456	0.065053
48.976718	0.046642
48.982685	0.067198
48.986416	0.076737
49.171253	0.199303
49.182839	0.184282
49.182851	0.18326
49.201518	0.167056
46.010323	0.188004
46.005956	0.167909
45.988063	0.170173
45.978332	0.168827
45.464507	0.085868
45.46344	0.095425
45.446318	0.088375
45.435492	0.078011
44.422415	0.153771
44.41282	0.141772
44.416884	0.130984
44.404438	0.132913
43.500314	0.2023
43.4837	0.167333
43.499796	0.198221
43.497275	0.217767
41.621541	0.230178
41.603217	0.256478
41.605573	0.21936
41.60065	0.213913
38.691575	0.090317
38.68544	0.087939
38.689736	0.095369
38.682648	0.082806
38.617886	0.095936
38.618183	0.082017
38.581085	0.093216
38.57008	0.06499
38.230376	0.080147
38.223878	0.093011
38.201569	0.104335
38.179705	0.081679
7.623823	0.112561
7.635647	0.110141
7.636512	0.100208
7.633185	0.111204
7.581522	0.192942
7.592556	0.228628
7.598339	0.196812
7.597038	0.201683
7.617147	0.115029
7.611321	0.129817
7.610132	0.136856
7.618754	0.132815
7.484616	0.11175
7.489824	0.142856
7.471066	0.148653
