Position(THz)	Width(THz)
0.718838	0.029165
1.121013	0.043435
1.361177	0.070619
1.46231	0.071639
1.473356	0.063824
1.473636	0.061313
1.229257	0.034977
1.51959	0.035063
1.771058	0.030144
2.580375	0.054452
2.739242	0.065283
2.879255	0.091341
2.972605	0.095953
3.144954	0.065101
3.665748	0.063031
4.195308	0.16496
4.629483	0.058786
5.255994	0.105399
5.321517	0.092294
5.777193	0.077136
5.911724	0.095846
6.50859	0.145707
6.878039	0.170163
7.453089	0.202286
8.064201	0.157212
7.984104	0.095689
8.114551	0.166048
8.206791	0.172532
8.81892	0.190396
9.195236	0.154614
9.195629	0.151802
9.402617	0.153586
9.385255	0.057768
9.658675	0.07978
10.028012	0.156578
10.189575	0.144747
10.185247	0.19539
10.615267	0.194099
11.497924	0.133229
11.471144	0.308785
11.63535	0.164008
11.882057	0.726164
11.844331	0.20909
12.159297	0.227454
12.37631	0.115393
12.374726	0.089289
12.373061	0.103284
12.365496	0.131445
13.090628	0.239539
13.218501	0.150348
13.275839	0.232177
13.466934	0.252408
13.746024	0.236855
13.940878	0.142394
14.259658	0.23997
15.88984	0.176766
16.080312	0.38951
16.404107	0.172851
16.431019	0.243462
16.636052	0.180487
16.677091	0.226374
16.825944	0.276411
16.94066	0.082666
17.147445	0.116616
17.362479	0.073837
17.458056	0.084093
17.43615	0.099815
17.534626	0.176854
17.726847	0.088635
18.069225	0.808258
18.113311	0.07044
18.409215	0.492014
18.511992	0.207634
19.025901	0.319631
19.037134	0.286824
19.252098	0.237046
19.206525	0.311234
19.37988	0.112501
19.621474	0.234792
19.548516	0.323375
19.808466	0.354029
20.296378	0.284513
20.361324	0.233199
20.498282	0.217906
20.712738	0.174043
21.575488	0.114756
21.862545	0.118989
21.985848	0.115855
22.085997	0.33777
22.174274	0.299337
22.155284	0.372951
22.145539	0.373245
23.023981	0.068561
23.036957	0.11221
23.232466	0.01706
23.2889	0.040468
23.936889	0.081133
24.019255	0.062496
25.124944	0.059996
25.628353	0.277436
25.722003	0.198706
25.785367	0.247642
25.798118	0.238189
25.808224	0.220079
25.783167	0.268563
26.080161	0.071221
26.60326	0.074057
26.885801	0.057405
26.80597	0.320604
26.794612	0.30941
26.786087	0.300029
26.816108	0.287427
27.025946	0.046893
27.073586	0.09779
27.285172	0.079561
27.471135	0.09508
27.655357	0.07223
27.777823	0.064408
28.011715	0.149319
28.581643	0.172576
28.690387	0.14546
29.127965	0.268959
29.176765	0.038568
29.198493	0.060783
30.241292	0.091068
30.376417	0.078358
30.355707	0.100145
30.504251	0.115863
31.143897	0.088027
31.283162	0.084678
32.159899	0.182102
32.344991	0.098351
32.02739	0.377264
32.038777	0.389728
32.026198	0.365363
32.033061	0.421654
32.32425	0.39368
32.339426	0.38653
32.340226	0.382001
32.302168	0.411426
35.029086	0.30195
35.022972	0.286938
35.031017	0.276126
35.041814	0.319958
35.663454	0.242309
35.66789	0.23991
35.820855	0.202293
35.865197	0.19487
39.298447	0.290003
39.279085	0.254951
39.317311	0.239138
39.329667	0.240795
42.073798	0.396841
42.053148	0.366095
42.129501	0.376988
42.099794	0.445566
44.413694	0.27545
44.423274	0.271152
44.426039	0.265844
44.417174	0.251031
48.974868	0.046661
48.972314	0.050394
48.982269	0.065889
48.996978	0.080077
49.166004	0.172133
49.169038	0.175636
49.192138	0.189223
49.189587	0.181285
46.0121	0.162317
45.999565	0.14415
45.9942	0.154212
45.972697	0.141421
45.4669	0.078891
45.471301	0.080224
45.435669	0.089763
45.425646	0.084708
44.428656	0.15955
44.435764	0.160628
44.416621	0.16023
44.397711	0.125011
43.499734	0.194048
43.487727	0.204143
43.49198	0.218366
43.492468	0.218862
41.603023	0.24524
41.607812	0.218961
41.605162	0.230457
41.605349	0.214726
38.685813	0.087868
38.692223	0.111622
38.689418	0.096988
38.679811	0.098569
38.645502	0.1082
38.624384	0.073736
38.579585	0.090443
38.545024	0.079826
38.244058	0.108832
38.249516	0.102564
38.197596	0.099449
38.172635	0.072609
7.634579	0.125829
7.628751	0.119317
7.632179	0.108288
7.618771	0.137763
7.588527	0.233763
7.591389	0.190991
7.593673	0.216125
7.590391	0.213346
7.620543	0.121066
7.616426	0.131306
7.607221	0.115716
7.605667	0.15441
7.492103	0.115533
7.491072	0.121081
7.483127	0.132428
