# frequency	phase_space
6.123767e+01	1.949828e+07
6.123768e+01	1.949876e+07
6.124010e+01	1.954601e+07
6.124087e+01	1.954057e+07
6.125232e+01	3.024161e+07
6.151704e+01	1.551188e+07
6.152572e+01	1.465198e+07
6.159759e+01	1.213333e+07
6.162760e+01	1.089268e+07
9.094690e+01	9.108670e+05
9.094690e+01	9.107761e+05
9.094690e+01	9.106758e+05
9.094690e+01	9.106131e+05
9.107070e+01	6.234725e+06
9.107071e+01	6.233736e+06
9.107071e+01	6.233232e+06
9.107071e+01	6.232428e+06
9.121652e+01	1.005580e+05
9.121654e+01	1.005846e+05
9.121654e+01	1.005878e+05
9.121657e+01	1.006199e+05
9.131844e+01	2.376352e+06
9.131847e+01	2.377770e+06
9.131848e+01	2.378624e+06
9.131850e+01	2.380245e+06
1.161372e+02	6.629083e+05
1.161372e+02	6.629076e+05
1.161724e+02	6.534546e+05
1.161724e+02	6.534545e+05
8.149238e-01	7.230787e+06
1.476691e+00	1.124918e+07
1.509699e+00	1.167729e+07
1.964598e+00	1.303583e+07
2.570822e+00	1.664463e+07
3.201249e+00	2.127110e+07
3.248695e+00	2.142514e+07
3.419303e+00	2.591142e+07
3.635488e+00	2.973138e+07
3.872423e+00	2.630115e+07
4.276830e+00	3.949421e+07
4.389905e+00	3.284390e+07
4.517935e+00	2.903256e+07
4.798139e+00	4.150040e+07
5.155320e+00	3.644043e+07
5.536971e+00	3.800306e+07
5.918199e+00	3.988796e+07
6.084929e+00	4.598261e+07
6.634141e+00	4.494745e+07
6.741881e+00	4.969385e+07
6.752963e+00	4.982156e+07
7.395593e+00	4.897603e+07
7.895056e+00	5.858510e+07
8.106307e+00	5.404218e+07
8.135272e+00	6.015438e+07
8.229846e+00	4.816408e+07
8.857433e+00	5.687686e+07
9.024318e+00	6.009752e+07
9.033956e+00	5.727981e+07
9.380411e+00	6.428437e+07
9.443846e+00	5.535872e+07
9.657353e+00	5.780207e+07
9.736238e+00	5.668824e+07
1.042400e+01	5.271758e+07
1.047601e+01	5.221555e+07
1.049008e+01	5.600375e+07
1.064088e+01	5.817037e+07
1.068868e+01	6.090164e+07
1.080994e+01	7.335079e+07
1.137736e+01	5.844182e+07
1.138220e+01	5.862205e+07
1.184319e+01	7.674034e+07
1.228562e+01	7.813798e+07
1.273761e+01	7.561976e+07
1.279869e+01	7.376421e+07
1.292854e+01	6.474159e+07
1.334979e+01	7.177110e+07
1.360918e+01	6.643364e+07
1.384829e+01	1.203657e+08
1.398393e+01	6.763840e+07
1.409040e+01	6.483194e+07
1.432241e+01	6.216175e+07
1.436814e+01	6.101543e+07
1.471613e+01	7.464309e+07
1.472179e+01	6.886746e+07
1.472216e+01	6.881924e+07
1.492456e+01	6.471632e+07
1.537430e+01	7.183215e+07
1.567844e+01	8.373842e+07
1.598612e+01	8.935687e+07
1.653537e+01	8.192358e+07
1.663072e+01	7.871580e+07
1.701852e+01	8.297940e+07
1.706696e+01	7.705353e+07
1.727463e+01	7.805073e+07
1.738597e+01	8.192435e+07
1.752540e+01	8.681023e+07
1.788684e+01	7.848331e+07
1.822565e+01	8.542500e+07
1.835576e+01	8.350379e+07
1.884405e+01	8.767268e+07
1.915355e+01	6.872366e+07
1.934246e+01	7.797938e+07
1.955047e+01	7.739102e+07
1.958031e+01	8.061927e+07
2.001921e+01	8.444602e+07
2.004328e+01	8.811052e+07
2.008237e+01	9.542748e+07
2.058914e+01	9.301725e+07
2.059987e+01	9.109572e+07
2.066778e+01	8.157809e+07
2.180180e+01	8.123316e+07
2.209499e+01	7.462876e+07
2.213734e+01	7.381471e+07
2.255400e+01	8.943341e+07
2.270987e+01	8.438582e+07
2.273798e+01	8.667800e+07
2.287956e+01	8.872044e+07
2.294107e+01	7.327970e+07
2.338792e+01	7.943254e+07
2.348318e+01	8.947228e+07
2.352057e+01	7.912402e+07
2.391918e+01	8.019261e+07
2.427591e+01	1.004763e+08
2.429555e+01	8.118039e+07
2.442416e+01	9.041600e+07
2.448031e+01	9.127619e+07
2.451306e+01	9.069050e+07
2.469488e+01	9.669012e+07
2.487704e+01	8.860044e+07
2.604812e+01	9.564984e+07
2.620627e+01	8.632458e+07
