# Frequency(THz) PDOS
0.000000 0.005809
0.159155 0.006389
0.318310 0.007879
0.477465 0.009637
0.636620 0.010922
0.795775 0.011219
0.954930 0.010457
1.114085 0.009021
1.273240 0.007569
1.432394 0.006740
1.591549 0.006910
1.750704 0.008091
1.909859 0.010015
2.069014 0.012340
2.228169 0.014862
2.387324 0.017620
2.546479 0.020843
2.705634 0.024771
2.864789 0.029426
3.023944 0.034473
3.183099 0.039227
3.342254 0.042841
3.501409 0.044602
3.660564 0.044227
3.819719 0.042031
3.978874 0.038892
4.138029 0.035986
4.297183 0.034397
4.456338 0.034727
4.615493 0.036877
4.774648 0.040110
4.933803 0.043369
5.092958 0.045739
5.252113 0.046834
5.411268 0.046931
5.570423 0.046778
5.729578 0.047160
5.888733 0.048439
6.047888 0.050302
6.207043 0.051854
6.366198 0.052033
6.525353 0.050129
6.684508 0.046172
6.843663 0.040968
7.002817 0.035788
7.161972 0.031830
7.321127 0.029741
7.480282 0.029377
7.639437 0.029934
7.798592 0.030321
7.957747 0.029631
8.116902 0.027465
8.276057 0.024036
8.435212 0.020020
8.594367 0.016290
8.753522 0.013638
8.912677 0.012582
9.071832 0.013290
9.230987 0.015583
9.390142 0.018986
9.549297 0.022810
9.708452 0.026267
9.867606 0.028631
10.026761 0.029416
10.185916 0.028525
10.345071 0.026294
10.504226 0.023384
10.663381 0.020554
10.822536 0.018390
10.981691 0.017108
11.140846 0.016534
11.300001 0.016255
11.459156 0.015883
11.618311 0.015278
11.777466 0.014625
11.936621 0.014321
12.095776 0.014733
12.254931 0.015965
12.414086 0.017757
12.573241 0.019572
12.732395 0.020828
12.891550 0.021150
13.050705 0.020511
13.209860 0.019207
13.369015 0.017683
13.528170 0.016327
13.687325 0.015332
13.846480 0.014682
14.005635 0.014244
14.164790 0.013885
14.323945 0.013545
14.483100 0.013235
14.642255 0.012977
14.801410 0.012751
14.960565 0.012491
15.119720 0.012126
15.278875 0.011638
15.438029 0.011103
15.597184 0.010680
15.756339 0.010562
15.915494 0.010923
16.074649 0.011872
16.233804 0.013430
16.392959 0.015508
16.552114 0.017891
16.711269 0.020232
16.870424 0.022094
17.029579 0.023038
17.188734 0.022753
17.347889 0.021181
17.507044 0.018553
17.666199 0.015336
17.825354 0.012078
17.984509 0.009228
18.143664 0.007019
18.302818 0.005444
18.461973 0.004345
18.621128 0.003535
18.780283 0.002903
18.939438 0.002438
19.098593 0.002186
19.257748 0.002172
19.416903 0.002350
19.576058 0.002598
19.735213 0.002773
19.894368 0.002773
20.053523 0.002580
20.212678 0.002256
20.371833 0.001903
20.530988 0.001609
20.690143 0.001414
20.849298 0.001307
21.008452 0.001253
21.167607 0.001221
21.326762 0.001200
21.485917 0.001201
21.645072 0.001248
21.804227 0.001364
21.963382 0.001575
22.122537 0.001918
22.281692 0.002434
22.440847 0.003150
22.600002 0.004038
22.759157 0.004991
22.918312 0.005821
23.077467 0.006319
23.236622 0.006350
23.395777 0.005943
23.554932 0.005325
23.714087 0.004858
23.873241 0.004897
24.032396 0.005624
24.191551 0.006935
24.350706 0.008447
24.509861 0.009636
24.669016 0.010042
24.828171 0.009461
24.987326 0.008036
25.146481 0.006200
25.305636 0.004509
25.464791 0.003431
25.623946 0.003183
25.783101 0.003684
25.942256 0.004613
26.101411 0.005563
26.260566 0.006192
26.419721 0.006329
26.578875 0.005999
26.738030 0.005367
26.897185 0.004642
27.056340 0.003994
27.215495 0.003508
27.374650 0.003198
27.533805 0.003056
27.692960 0.003096
27.852115 0.003364
28.011270 0.003909
28.170425 0.004722
28.329580 0.005689
28.488735 0.006592
28.647890 0.007165
28.807045 0.007193
28.966200 0.006594
29.125355 0.005464
29.284510 0.004037
29.443664 0.002609
29.602819 0.001427
29.761974 0.000622
29.921129 0.000194
30.080284 0.000046
30.239439 0.000048
30.398594 0.000093
30.557749 0.000123
30.716904 0.000126
30.876059 0.000115
31.035214 0.000104
31.194369 0.000100
31.353524 0.000097
31.512679 0.000091
31.671834 0.000080
31.830989 0.000066
31.990144 0.000054
32.149299 0.000046
32.308453 0.000041
32.467608 0.000038
32.626763 0.000035
32.785918 0.000033
32.945073 0.000031
33.104228 0.000030
33.263383 0.000030
33.422538 0.000030
33.581693 0.000029
33.740848 0.000028
33.900003 0.000027
34.059158 0.000025
34.218313 0.000024
34.377468 0.000023
34.536623 0.000022
34.695778 0.000021
34.854933 0.000021
35.014087 0.000021
35.173242 0.000022
35.332397 0.000023
35.491552 0.000023
35.650707 0.000023
35.809862 0.000023
35.969017 0.000023
36.128172 0.000022
36.287327 0.000021
36.446482 0.000020
36.605637 0.000020
36.764792 0.000019
36.923947 0.000018
37.083102 0.000017
37.242257 0.000017
37.401412 0.000018
37.560567 0.000021
37.719722 0.000028
37.878876 0.000038
38.038031 0.000049
38.197186 0.000059
38.356341 0.000067
38.515496 0.000070
38.674651 0.000070
38.833806 0.000067
38.992961 0.000063
39.152116 0.000060
39.311271 0.000058
39.470426 0.000056
39.629581 0.000053
39.788736 0.000049
39.947891 0.000042
40.107046 0.000034
40.266201 0.000026
40.425356 0.000019
40.584510 0.000014
40.743665 0.000011
40.902820 0.000010
41.061975 0.000010
41.221130 0.000011
41.380285 0.000012
41.539440 0.000013
41.698595 0.000014
41.857750 0.000015
42.016905 0.000016
42.176060 0.000016
42.335215 0.000016
42.494370 0.000015
42.653525 0.000014
42.812680 0.000013
42.971835 0.000012
43.130990 0.000010
43.290145 0.000009
43.449299 0.000009
43.608454 0.000009
43.767609 0.000009
43.926764 0.000009
44.085919 0.000009
44.245074 0.000010
44.404229 0.000011
44.563384 0.000012
44.722539 0.000012
44.881694 0.000012
45.040849 0.000011
45.200004 0.000010
45.359159 0.000010
45.518314 0.000011
45.677469 0.000012
45.836624 0.000012
45.995779 0.000010
46.154933 0.000008
46.314088 0.000009
46.473243 0.000012
46.632398 0.000017
46.791553 0.000020
46.950708 0.000018
47.109863 0.000014
47.269018 0.000013
47.428173 0.000021
47.587328 0.000038
47.746483 0.000051
47.905638 0.000044
48.064793 0.000011
48.223948 -0.000022
48.383103 0.000005
48.542258 0.000172
48.701413 0.000545
48.860568 0.001127
49.019722 0.001841
49.178877 0.002534
49.338032 0.003029
49.497187 0.003188
49.656342 0.002966
49.815497 0.002432
49.974652 0.001734
50.133807 0.001046
50.292962 0.000504
50.452117 0.000170
50.611272 0.000027
50.770427 0.000009
50.929582 0.000040
51.088737 0.000066
51.247892 0.000066
51.407047 0.000048
51.566202 0.000029
51.725357 0.000024
51.884511 0.000033
52.043666 0.000048
52.202821 0.000058
52.361976 0.000059
52.521131 0.000054
52.680286 0.000054
52.839441 0.000064
52.998596 0.000081
53.157751 0.000093
53.316906 0.000088
53.476061 0.000070
53.635216 0.000056
53.794371 0.000069
53.953526 0.000116
54.112681 0.000170
54.271836 0.000178
54.430991 0.000105
