# Frequency(THz) PDOS
0.000000 0.007023
0.159155 0.007364
0.318310 0.008231
0.477465 0.009221
0.636620 0.009872
0.795775 0.009865
0.954930 0.009164
1.114085 0.008033
1.273240 0.006930
1.432394 0.006331
1.591549 0.006552
1.750704 0.007639
1.909859 0.009359
2.069014 0.011303
2.228169 0.013069
2.387324 0.014466
2.546479 0.015651
2.705634 0.017135
2.864789 0.019613
3.023944 0.023663
3.183099 0.029426
3.342254 0.036392
3.501409 0.043432
3.660564 0.049081
3.819719 0.051999
3.978874 0.051451
4.138029 0.047605
4.297183 0.041535
4.456338 0.034899
4.615493 0.029401
4.774648 0.026223
4.933803 0.025647
5.092958 0.027008
5.252113 0.029021
5.411268 0.030354
5.570423 0.030213
5.729578 0.028679
5.888733 0.026633
6.047888 0.025291
6.207043 0.025568
6.366198 0.027577
6.525353 0.030528
6.684508 0.033089
6.843663 0.034040
7.002817 0.032865
7.161972 0.030004
7.321127 0.026606
7.480282 0.023945
7.639437 0.022794
7.798592 0.023085
7.957747 0.024008
8.116902 0.024467
8.276057 0.023640
8.435212 0.021347
8.594367 0.018078
8.753522 0.014711
8.912677 0.012088
9.071832 0.010686
9.230987 0.010499
9.390142 0.011153
9.549297 0.012138
9.708452 0.013036
9.867606 0.013642
10.026761 0.013962
10.185916 0.014132
10.345071 0.014303
10.504226 0.014558
10.663381 0.014877
10.822536 0.015144
10.981691 0.015193
11.140846 0.014866
11.300001 0.014077
11.459156 0.012852
11.618311 0.011346
11.777466 0.009817
11.936621 0.008557
12.095776 0.007814
12.254931 0.007712
12.414086 0.008207
12.573241 0.009084
12.732395 0.010018
12.891550 0.010659
13.050705 0.010736
13.209860 0.010132
13.369015 0.008915
13.528170 0.007312
13.687325 0.005641
13.846480 0.004214
14.005635 0.003258
14.164790 0.002864
14.323945 0.002980
14.483100 0.003451
14.642255 0.004071
14.801410 0.004640
14.960565 0.005016
15.119720 0.005128
15.278875 0.004984
15.438029 0.004643
15.597184 0.004192
15.756339 0.003711
15.915494 0.003250
16.074649 0.002820
16.233804 0.002403
16.392959 0.001982
16.552114 0.001576
16.711269 0.001266
16.870424 0.001192
17.029579 0.001519
17.188734 0.002358
17.347889 0.003705
17.507044 0.005402
17.666199 0.007170
17.825354 0.008695
17.984509 0.009745
18.143664 0.010243
18.302818 0.010272
18.461973 0.010005
18.621128 0.009611
18.780283 0.009200
18.939438 0.008849
19.098593 0.008701
19.257748 0.009036
19.416903 0.010269
19.576058 0.012817
19.735213 0.016886
19.894368 0.022306
20.053523 0.028509
20.212678 0.034680
20.371833 0.040026
20.530988 0.044021
20.690143 0.046487
20.849298 0.047509
21.008452 0.047221
21.167607 0.045650
21.326762 0.042687
21.485917 0.038242
