# frequency	phase_space
-2.230614e-05	0.000000e+00
8.198409e-05	0.000000e+00
1.164992e-04	0.000000e+00
6.169903e-01	2.371312e+06
1.791065e+00	5.069972e+06
1.850957e+00	5.328268e+06
2.595942e+00	8.339701e+06
2.857030e+00	9.372002e+06
3.107508e+00	7.146333e+06
3.899574e+00	1.076802e+07
3.934748e+00	1.164915e+07
5.363973e+00	1.906425e+07
5.462642e+00	1.556512e+07
5.536340e+00	1.318139e+07
5.543507e+00	1.314070e+07
5.818781e+00	1.811553e+07
6.246789e+00	1.841830e+07
6.765037e+00	1.945208e+07
7.148237e+00	1.827059e+07
7.732087e+00	1.780947e+07
8.189362e+00	2.211300e+07
8.385984e+00	1.879426e+07
8.506569e+00	1.893494e+07
8.589737e+00	2.006702e+07
8.699013e+00	2.118847e+07
8.748161e+00	2.587143e+07
9.187783e+00	2.236183e+07
9.550320e+00	2.467680e+07
9.657713e+00	2.401229e+07
9.835739e+00	1.909874e+07
1.005070e+01	1.910832e+07
1.019744e+01	2.196890e+07
1.040066e+01	2.258984e+07
1.068123e+01	2.334123e+07
1.076283e+01	2.631805e+07
1.082256e+01	2.110352e+07
1.121050e+01	1.988671e+07
1.135133e+01	2.635438e+07
1.178393e+01	2.352787e+07
1.194565e+01	3.290596e+07
1.266360e+01	2.624320e+07
1.317502e+01	3.164153e+07
1.327758e+01	3.425443e+07
1.346352e+01	3.179774e+07
1.380087e+01	3.047423e+07
1.397849e+01	3.937979e+07
1.400532e+01	3.200269e+07
1.417344e+01	2.533448e+07
1.459575e+01	2.784844e+07
1.473838e+01	2.757287e+07
1.508500e+01	2.744246e+07
1.548424e+01	2.636513e+07
1.620766e+01	3.176515e+07
1.672179e+01	3.624606e+07
1.714353e+01	3.758718e+07
1.717424e+01	3.361912e+07
1.730064e+01	2.896372e+07
1.753880e+01	2.822410e+07
1.753943e+01	2.821946e+07
1.761027e+01	2.795263e+07
1.773853e+01	3.106695e+07
1.797637e+01	3.068319e+07
1.827171e+01	5.501514e+07
1.840684e+01	3.083076e+07
1.852788e+01	3.829591e+07
1.923393e+01	3.216816e+07
1.938468e+01	3.824538e+07
2.000091e+01	4.010448e+07
2.002459e+01	4.355634e+07
2.036190e+01	3.772054e+07
2.135958e+01	4.278033e+07
2.183263e+01	3.418153e+07
2.192743e+01	3.042754e+07
2.193538e+01	2.994440e+07
2.194251e+01	2.992161e+07
2.194614e+01	3.020076e+07
2.204378e+01	3.095309e+07
2.216694e+01	3.064508e+07
2.244836e+01	4.048906e+07
2.282214e+01	2.882407e+07
2.283006e+01	2.803631e+07
2.305064e+01	3.016533e+07
2.306637e+01	2.895979e+07
2.308103e+01	3.015488e+07
2.308149e+01	3.030264e+07
2.376473e+01	3.115079e+07
2.388179e+01	3.320486e+07
2.399605e+01	3.398533e+07
2.442387e+01	3.199918e+07
2.448218e+01	3.888199e+07
2.488913e+01	4.062288e+07
2.489746e+01	4.120272e+07
2.499594e+01	4.176795e+07
2.640764e+01	3.596433e+07
2.644134e+01	3.836959e+07
2.720614e+01	3.545945e+07
2.721557e+01	3.041363e+07
2.722796e+01	3.062295e+07
2.732768e+01	3.753889e+07
2.732811e+01	3.753762e+07
2.734281e+01	3.891530e+07
2.750531e+01	3.865697e+07
2.764928e+01	3.584339e+07
2.776721e+01	3.332334e+07
2.819637e+01	3.666502e+07
2.822557e+01	3.633764e+07
2.832784e+01	3.369902e+07
2.887857e+01	4.531890e+07
2.893792e+01	4.305388e+07
2.923477e+01	3.270818e+07
2.946837e+01	3.263116e+07
2.970510e+01	3.489161e+07
2.974635e+01	3.415117e+07
2.976890e+01	3.284485e+07
2.980954e+01	3.331611e+07
2.985521e+01	3.896340e+07
3.030093e+01	4.395053e+07
3.043503e+01	3.829262e+07
3.046132e+01	3.388847e+07
3.059121e+01	4.138731e+07
3.128160e+01	4.114764e+07
3.144875e+01	4.355242e+07
3.233929e+01	4.845750e+07
3.258586e+01	3.646147e+07
3.459230e+01	2.794851e+07
3.468598e+01	3.492655e+07
3.470621e+01	3.411751e+07
3.472429e+01	3.910164e+07
3.510790e+01	2.562553e+07
3.523828e+01	2.843095e+07
3.528313e+01	2.972878e+07
3.528643e+01	3.123220e+07
3.529408e+01	3.362287e+07
3.549101e+01	3.036560e+07
3.556471e+01	3.211783e+07
3.565045e+01	2.598883e+07
3.565383e+01	2.594273e+07
3.567207e+01	2.553277e+07
3.586753e+01	2.474753e+07
3.588264e+01	2.570576e+07
3.679614e+01	3.455680e+07
3.706001e+01	4.503639e+07
3.711529e+01	3.801555e+07
3.721940e+01	3.250341e+07
3.928193e+01	3.011650e+07
3.928529e+01	2.983353e+07
3.930506e+01	2.706771e+07
3.931769e+01	2.677660e+07
4.206966e+01	3.527958e+07
4.207160e+01	3.695581e+07
4.213707e+01	3.149652e+07
4.215357e+01	2.718834e+07
4.446003e+01	3.140941e+07
4.446003e+01	3.140912e+07
4.451692e+01	2.739491e+07
4.451777e+01	2.728696e+07
4.453476e+01	2.501507e+07
4.453965e+01	2.427993e+07
4.478169e+01	2.487321e+07
4.478197e+01	2.487534e+07
4.889670e+01	2.211157e+07
4.889761e+01	2.214735e+07
4.892723e+01	2.267949e+07
4.894113e+01	2.230403e+07
4.915713e+01	2.146070e+07
4.915789e+01	2.145290e+07
4.918175e+01	2.086201e+07
4.919303e+01	2.096034e+07
5.397556e+01	2.782830e+07
5.397894e+01	2.784786e+07
5.399981e+01	2.878273e+07
5.402190e+01	2.797651e+07
5.427948e+01	2.594092e+07
5.428446e+01	2.589414e+07
5.431073e+01	2.493152e+07
5.433939e+01	2.164406e+07
5.504398e+01	2.129532e+07
5.510125e+01	2.150115e+07
5.510609e+01	2.166660e+07
5.511879e+01	2.147239e+07
5.543165e+01	2.232880e+07
5.548212e+01	2.871229e+07
5.548620e+01	2.830397e+07
5.550135e+01	2.575142e+07
5.565996e+01	2.210843e+07
5.566203e+01	2.211566e+07
5.568257e+01	2.428165e+07
5.569177e+01	3.475536e+07
5.653174e+01	3.094704e+07
5.653192e+01	3.092817e+07
5.653402e+01	3.071774e+07
5.653489e+01	3.062516e+07
5.832514e+01	3.256706e+07
5.832558e+01	3.266014e+07
5.833395e+01	3.495790e+07
5.833684e+01	3.528852e+07
6.112737e+01	1.731674e+07
6.113577e+01	1.877492e+07
6.121979e+01	1.768305e+07
6.124134e+01	1.973827e+07
6.124135e+01	1.973921e+07
6.124375e+01	2.008674e+07
6.124460e+01	2.026561e+07
6.125431e+01	2.257332e+07
6.151959e+01	2.055288e+07
6.152680e+01	2.026218e+07
6.159963e+01	1.437896e+07
6.162947e+01	1.669122e+07
9.094704e+01	1.297722e+07
9.094704e+01	1.297497e+07
9.094705e+01	1.297204e+07
9.094705e+01	1.297036e+07
9.107075e+01	7.888589e+06
9.107075e+01	7.886891e+06
9.107076e+01	7.886067e+06
9.107076e+01	7.884763e+06
9.121664e+01	4.914921e+06
9.121667e+01	4.917853e+06
9.121667e+01	4.918277e+06
9.121670e+01	4.921802e+06
9.131865e+01	1.198588e+07
9.131867e+01	1.198349e+07
9.131868e+01	1.198194e+07
9.131871e+01	1.197912e+07
1.161375e+02	8.966205e+05
1.161375e+02	8.966266e+05
1.161726e+02	2.735206e+06
1.161726e+02	2.735234e+06
8.674563e-01	7.707159e+06
1.478376e+00	9.652010e+06
1.520813e+00	9.871263e+06
1.954041e+00	1.348128e+07
2.565455e+00	1.463291e+07
3.209002e+00	2.180750e+07
3.253830e+00	2.039358e+07
3.476523e+00	2.134983e+07
3.772697e+00	2.308656e+07
4.307910e+00	2.662627e+07
4.445454e+00	3.071125e+07
4.658274e+00	2.788569e+07
4.964729e+00	3.209115e+07
5.218475e+00	3.076469e+07
5.515048e+00	3.677585e+07
6.034360e+00	4.267331e+07
6.787971e+00	4.042532e+07
6.907472e+00	4.449377e+07
7.225213e+00	4.280334e+07
7.236675e+00	4.266731e+07
7.905674e+00	4.454574e+07
8.357775e+00	4.235621e+07
8.607730e+00	4.767924e+07
8.707110e+00	4.735577e+07
8.740417e+00	5.329276e+07
8.782976e+00	4.837929e+07
9.313359e+00	5.068988e+07
9.449937e+00	4.833770e+07
9.650412e+00	5.928415e+07
9.818329e+00	5.443018e+07
9.834601e+00	5.200830e+07
1.049938e+01	4.881554e+07
1.060080e+01	5.624833e+07
1.065812e+01	5.012615e+07
1.068224e+01	4.207510e+07
1.070125e+01	4.143606e+07
1.079130e+01	4.225155e+07
1.112912e+01	5.688579e+07
1.116758e+01	5.591698e+07
1.186492e+01	5.722995e+07
1.282705e+01	5.775500e+07
1.286353e+01	6.076246e+07
1.295408e+01	5.996016e+07
1.329829e+01	5.967550e+07
1.340443e+01	5.704374e+07
1.378211e+01	5.984665e+07
1.408677e+01	5.359523e+07
1.425692e+01	5.917586e+07
1.441302e+01	5.270710e+07
1.508191e+01	5.413760e+07
1.509583e+01	5.325102e+07
1.556467e+01	5.571928e+07
1.559229e+01	5.994837e+07
1.621519e+01	6.029958e+07
1.634475e+01	5.929580e+07
1.694122e+01	5.808772e+07
1.707953e+01	1.053895e+08
1.723580e+01	6.658578e+07
1.745785e+01	5.792491e+07
1.773591e+01	6.190105e+07
1.789412e+01	6.029668e+07
1.821015e+01	6.423871e+07
1.873720e+01	6.511885e+07
1.891687e+01	7.370338e+07
1.938373e+01	7.119046e+07
1.962191e+01	6.501585e+07
1.985820e+01	6.417383e+07
2.006935e+01	6.509613e+07
2.020230e+01	7.572405e+07
2.036207e+01	7.735475e+07
2.148762e+01	7.817603e+07
2.158014e+01	8.087393e+07
2.181216e+01	7.629590e+07
2.182255e+01	7.197725e+07
2.215371e+01	6.240916e+07
2.220230e+01	5.956300e+07
2.248673e+01	6.962336e+07
2.274465e+01	7.243686e+07
2.275174e+01	7.039848e+07
2.302855e+01	5.941890e+07
2.303834e+01	5.426708e+07
2.304500e+01	5.448767e+07
2.304751e+01	5.481822e+07
2.335172e+01	6.986236e+07
2.349767e+01	6.840329e+07
2.355467e+01	6.243384e+07
2.361926e+01	7.922853e+07
2.384799e+01	6.786673e+07
2.389551e+01	7.187081e+07
2.441824e+01	8.862027e+07
2.455725e+01	8.535841e+07
2.461133e+01	8.887890e+07
2.578839e+01	8.003379e+07
2.612895e+01	7.840762e+07
2.650339e+01	7.794944e+07
2.669630e+01	8.037216e+07
2.679951e+01	6.762648e+07
2.714075e+01	7.347743e+07
2.716351e+01	8.306413e+07
2.724514e+01	7.803761e+07
2.748537e+01	6.293281e+07
2.762454e+01	7.144460e+07
2.787006e+01	6.442728e+07
2.787110e+01	6.422411e+07
2.799919e+01	7.034194e+07
2.800763e+01	6.260974e+07
2.828930e+01	7.254296e+07
2.885113e+01	8.260234e+07
2.894376e+01	7.988034e+07
2.933924e+01	1.037417e+08
2.934472e+01	7.307750e+07
2.969127e+01	6.965340e+07
2.970653e+01	7.471416e+07
2.975885e+01	8.343803e+07
2.977494e+01	7.498131e+07
2.981697e+01	7.043344e+07
3.042466e+01	6.333890e+07
3.059802e+01	8.181813e+07
3.077406e+01	8.065930e+07
3.095490e+01	8.175810e+07
3.111821e+01	8.497272e+07
3.129102e+01	9.462427e+07
3.209323e+01	8.123950e+07
3.233065e+01	8.840162e+07
3.462013e+01	6.333801e+07
3.469845e+01	6.195530e+07
3.470583e+01	5.911209e+07
3.473203e+01	5.703247e+07
3.512881e+01	5.087224e+07
3.515322e+01	5.191959e+07
3.518362e+01	6.112472e+07
3.518600e+01	4.963099e+07
3.524657e+01	6.473815e+07
3.550552e+01	6.015798e+07
3.550710e+01	6.242720e+07
3.563602e+01	5.875232e+07
3.567556e+01	5.050128e+07
3.568957e+01	5.272290e+07
3.582805e+01	6.379531e+07
3.585066e+01	6.049156e+07
3.684412e+01	6.381330e+07
