time_ps,kappa1,kappa2,kappa3,kappa4,kappa5,kappa6,kappa7,kappa8,kappa9,kappa10,kappa11,kappa12,kappa13,kappa14,kappa15,kappa16,kappa17,kappa18,kappa19,kappa20,kappa21,kappa22,kappa23,kappa24,kappa25,kappa26,kappa27,kappa28,kappa29,kappa30,kappa31,kappa32,kappa33,kappa34,kappa35,kappa36,kappa37,kappa38,kappa39,kappa40,kappa41,kappa42,kappa43,kappa44,kappa45,kappa46,kappa47,kappa48,kappa49,kappa50
0.065,1.184028,1.185175,1.142158,1.174778,1.2339,1.207475,1.169981,1.174694,1.185217,1.179346,1.181487,1.18908,1.194283,1.14651,1.144954,1.213298,1.203666,1.155786,1.178602,1.230869,1.175287,1.149164,1.192732,1.169453,1.1711,1.184773,1.232626,1.198448,1.226815,1.217727,1.22422,1.176516,1.21456,1.140698,1.171283,1.202901,1.190087,1.207785,1.157494,1.184773,1.197116,1.159389,1.195768,1.167038,1.187588,1.164952,1.169981,1.195271,1.156997,1.163603
0.07,1.003478,1.02781,0.987498,1.028721,1.065364,1.047426,1.006129,1.025185,1.040527,1.006056,1.03641,1.036096,1.039903,0.987253,0.98189,1.057267,1.068512,0.99408,1.016594,1.076839,1.027711,0.996022,1.048006,1.006666,1.006908,1.033318,1.089829,1.057039,1.061857,1.069002,1.060407,1.02422,1.043272,0.975249,1.015315,1.052772,1.027156,1.05739,1.004243,1.033318,1.028296,0.999243,1.031778,1.025069,1.022879,1.024702,1.006129,1.044029,0.996646,1.023756
0.075,1.570081,1.58599,1.539184,1.550149,1.640174,1.597663,1.571288,1.567226,1.57476,1.560917,1.54972,1.572658,1.588252,1.528389,1.531863,1.601534,1.601807,1.529183,1.57585,1.62331,1.56509,1.563828,1.587565,1.556467,1.552366,1.573767,1.601616,1.596599,1.60439,1.603971,1.635902,1.55805,1.611529,1.506496,1.568138,1.58777,1.569107,1.58813,1.544646,1.573767,1.581935,1.546284,1.60053,1.584075,1.594959,1.558742,1.571288,1.594985,1.55205,1.549528
0.08,1.825696,1.84478,1.78083,1.793084,1.889901,1.84669,1.812037,1.810926,1.806508,1.799776,1.778793,1.825573,1.840878,1.780205,1.776832,1.859619,1.853177,1.781323,1.824945,1.864916,1.804118,1.798507,1.82998,1.813331,1.804524,1.81118,1.830083,1.852548,1.859413,1.840762,1.887062,1.788019,1.863469,1.762594,1.80834,1.827247,1.816651,1.823517,1.807542,1.81118,1.825467,1.793338,1.850085,1.837385,1.855332,1.797253,1.812037,1.846596,1.803282,1.776549
0.085,1.447777,1.484785,1.414147,1.457535,1.510766,1.49037,1.432686,1.45968,1.455968,1.426676,1.442888,1.482751,1.490989,1.431321,1.41144,1.520315,1.521128,1.436374,1.460411,1.510272,1.453508,1.41828,1.481125,1.453287,1.446893,1.461491,1.4956,1.514718,1.5137,1.493094,1.513683,1.427916,1.486944,1.421795,1.444986,1.481613,1.462933,1.473737,1.468528,1.461491,1.457561,1.438512,1.476881,1.478883,1.485453,1.444787,1.432686,1.490153,1.441791,1.426513
0.09,1.404965,1.431691,1.373547,1.405326,1.488294,1.456524,1.40793,1.422885,1.431724,1.406395,1.411769,1.429996,1.451719,1.381388,1.369629,1.478427,1.469936,1.384831,1.431508,1.48536,1.420874,1.400642,1.444393,1.39166,1.39014,1.443444,1.46669,1.45843,1.476303,1.467874,1.496543,1.392437,1.453646,1.363393,1.42053,1.454106,1.422666,1.438089,1.40315,1.443444,1.429534,1.404827,1.443969,1.429792,1.441568,1.394135,1.40793,1.438188,1.401268,1.391664
0.095,1.608174,1.622082,1.567367,1.580867,1.70467,1.654072,1.619621,1.617566,1.627475,1.618524,1.599309,1.612442,1.645775,1.562734,1.562264,1.663858,1.643645,1.568888,1.638258,1.686047,1.613447,1.611922,1.636569,1.57791,1.571643,1.643033,1.651786,1.633175,1.668326,1.664543,1.709827,1.586349,1.659554,1.542554,1.62339,1.65052,1.615839,1.627386,1.57427,1.643033,1.634361,1.598751,1.648078,1.619914,1.642825,1.578761,1.619621,1.624237,1.596922,1.579955
0.1,1.477034,1.510547,1.43737,1.477031,1.560581,1.524299,1.47572,1.498169,1.490497,1.473671,1.479773,1.508081,1.527566,1.444765,1.429853,1.546669,1.533448,1.463594,1.50777,1.5522,1.48078,1.455391,1.513591,1.473081,1.458111,1.497467,1.52077,1.527867,1.544702,1.531319,1.55664,1.458875,1.517454,1.442459,1.481673,1.523126,1.49454,1.500849,1.474372,1.497467,1.495703,1.464255,1.51491,1.503869,1.523957,1.469177,1.47572,1.513776,1.469236,1.453395
0.105,1.52232,1.562647,1.479904,1.525308,1.597957,1.56231,1.513332,1.541681,1.521308,1.508213,1.518107,1.558179,1.573022,1.49099,1.470333,1.58972,1.575668,1.515334,1.551412,1.588464,1.512364,1.483625,1.552124,1.526566,1.508641,1.521008,1.547159,1.578391,1.582336,1.562625,1.58627,1.499691,1.553846,1.494748,1.515842,1.559719,1.538092,1.539623,1.528455,1.521008,1.53334,1.497811,1.563352,1.550798,1.580087,1.519669,1.513332,1.570171,1.508657,1.489902
0.11,1.772256,1.791806,1.722323,1.737492,1.860788,1.80223,1.777669,1.776092,1.764561,1.768681,1.748757,1.775118,1.80719,1.716657,1.713344,1.810944,1.78421,1.735644,1.806086,1.834299,1.750417,1.747374,1.784468,1.750996,1.730841,1.763538,1.777246,1.790281,1.812569,1.800823,1.849295,1.740634,1.810119,1.707631,1.768128,1.797443,1.772974,1.776454,1.736587,1.763538,1.785842,1.733256,1.817763,1.778686,1.828819,1.75305,1.777669,1.801526,1.741796,1.72268
0.115,1.44392,1.464419,1.403848,1.429524,1.539234,1.492368,1.463929,1.46646,1.467807,1.456314,1.460421,1.458013,1.492676,1.400514,1.398989,1.493904,1.473265,1.41757,1.493406,1.529758,1.451047,1.431464,1.478114,1.426084,1.40445,1.461478,1.493319,1.471943,1.503649,1.502406,1.533904,1.433463,1.49203,1.391373,1.460771,1.49528,1.461333,1.477845,1.413853,1.461478,1.473017,1.418994,1.490525,1.451574,1.501808,1.451099,1.463929,1.476865,1.417397,1.420045
0.12,1.051758,1.084383,1.014221,1.0725,1.143292,1.120033,1.068049,1.091813,1.089634,1.066588,1.102688,1.091593,1.114418,1.033907,1.019585,1.129438,1.113267,1.04974,1.105887,1.15314,1.075399,1.026457,1.103054,1.050146,1.033962,1.08098,1.132534,1.109283,1.137165,1.131807,1.139339,1.051521,1.100175,1.033778,1.075802,1.120897,1.089126,1.112502,1.053663,1.08098,1.088322,1.040953,1.093794,1.064167,1.114578,1.080416,1.068049,1.096293,1.034877,1.040114
